// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	407410													0.000000	0.000000	0.000000	0.400479	-0.835690	-0.375818	-0.033079	-0.423063	0.905496	-0.915709	-0.350201	-0.197071
1	407577													8.955917	-0.306442	3.964734	0.400966	-0.835139	-0.376524	-0.033010	-0.423915	0.905100	-0.915498	-0.350485	-0.197543
2	407743													8.953900	-0.333081	3.967882	0.401692	-0.835583	-0.374759	-0.032622	-0.422022	0.905998	-0.915194	-0.351707	-0.196781
3	407910													8.951468	-0.321950	3.986005	0.402417	-0.835614	-0.373911	-0.032583	-0.421257	0.906356	-0.914876	-0.352550	-0.196748
4	408077													8.942139	-0.315183	3.997720	0.403072	-0.835310	-0.373886	-0.032618	-0.421397	0.906290	-0.914587	-0.353104	-0.197100
5	408243													8.948375	-0.312425	4.003317	0.403691	-0.835198	-0.373467	-0.032622	-0.421088	0.906433	-0.914313	-0.353736	-0.197236
6	408410													8.975107	-0.331010	3.985007	0.404166	-0.834989	-0.373421	-0.032607	-0.421144	0.906408	-0.914104	-0.354163	-0.197439
7	408577													8.978344	-0.317807	3.993891	0.404462	-0.834864	-0.373379	-0.032648	-0.421184	0.906388	-0.913972	-0.354409	-0.197609
8	408743													8.981101	-0.292899	4.008846	0.404677	-0.834853	-0.373171	-0.032629	-0.421001	0.906473	-0.913877	-0.354653	-0.197610
9	409077													8.968570	-0.267761	4.002019	0.404987	-0.834625	-0.373346	-0.032460	-0.421198	0.906388	-0.913746	-0.354956	-0.197672
10	409243													8.982060	-0.256788	3.984152	0.405078	-0.834547	-0.373421	-0.032290	-0.421234	0.906377	-0.913712	-0.355095	-0.197580
11	409410													8.979015	-0.267811	4.018968	0.405092	-0.834535	-0.373433	-0.032093	-0.421174	0.906412	-0.913713	-0.355195	-0.197397
12	409577													8.977607	-0.277092	3.986792	0.405105	-0.834453	-0.373601	-0.031907	-0.421288	0.906366	-0.913713	-0.355253	-0.197291
13	409743													8.949359	-0.285381	3.998901	0.405115	-0.834393	-0.373725	-0.031778	-0.421374	0.906330	-0.913713	-0.355292	-0.197220
14	409910													8.959586	-0.307350	3.982314	0.405096	-0.834240	-0.374087	-0.031689	-0.421729	0.906168	-0.913725	-0.355231	-0.197277
