// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	4066259													0.011459	-0.206650	-0.223900	-0.176989	-0.919019	0.352248	0.019492	0.354555	0.934832	-0.984020	0.172321	-0.044839
1	4066425													9.622437	0.224187	-1.723128	-0.176610	-0.919449	0.351316	0.019308	0.353621	0.935189	-0.984091	0.171947	-0.044700
2	4066592													9.634440	0.225742	-1.700592	-0.176463	-0.919890	0.350233	0.019748	0.352437	0.935627	-0.984109	0.172021	-0.044026
3	4066759													9.614032	0.247987	-1.670427	-0.175998	-0.919685	0.351003	0.020261	0.353109	0.935363	-0.984182	0.171734	-0.043513
4	4067259													9.610936	0.234112	-1.692030	-0.175344	-0.919648	0.351428	0.020842	0.353411	0.935236	-0.984287	0.171312	-0.042802
5	4067425													9.633847	0.219008	-1.692610	-0.174948	-0.919436	0.352179	0.021238	0.354088	0.934971	-0.984349	0.171051	-0.042420
6	4067592													9.614274	0.212500	-1.709334	-0.174605	-0.919203	0.352957	0.021446	0.354829	0.934685	-0.984405	0.170770	-0.042242
7	4067759													9.598759	0.211976	-1.691251	-0.174478	-0.919208	0.353007	0.021560	0.354854	0.934673	-0.984425	0.170690	-0.042096
8	4067925													9.595126	0.218123	-1.729447	-0.174406	-0.919038	0.353486	0.021617	0.355328	0.934492	-0.984436	0.170623	-0.042105
9	4068092													9.566272	0.235736	-1.684748	-0.174493	-0.918896	0.353811	0.021669	0.355653	0.934367	-0.984420	0.170708	-0.042147
10	4068259													9.582292	0.241818	-1.685321	-0.174699	-0.918674	0.354286	0.021670	0.356145	0.934179	-0.984383	0.170877	-0.042310
11	4068425													9.608940	0.315265	-1.705083	-0.174935	-0.918449	0.354753	0.021662	0.356631	0.933994	-0.984342	0.171073	-0.042492
12	4068592													9.556228	0.272948	-1.711112	-0.175127	-0.918044	0.355704	0.021679	0.357604	0.933622	-0.984307	0.171213	-0.042723
