// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1936516													-0.281491	-0.351074	-0.163742	0.146125	-0.922593	-0.357028	0.015977	-0.358654	0.933334	-0.989137	-0.142087	-0.037668
1	1936683													9.739120	0.171147	1.445437	0.146439	-0.922065	-0.358262	0.016229	-0.359878	0.932858	-0.989087	-0.142421	-0.037736
2	1936850													9.745872	0.169466	1.435103	0.146809	-0.921893	-0.358552	0.016395	-0.360162	0.932746	-0.989029	-0.142814	-0.037761
3	1937016													9.732411	0.167764	1.471018	0.146975	-0.921608	-0.359218	0.016475	-0.360831	0.932486	-0.989003	-0.142970	-0.037850
4	1937850													9.697239	0.171924	1.468710	0.147928	-0.920579	-0.361458	0.016649	-0.363109	0.931598	-0.988858	-0.143827	-0.038387
5	1938016													9.733223	0.156428	1.469949	0.148110	-0.920407	-0.361820	0.016660	-0.363481	0.931453	-0.988831	-0.143985	-0.038501
6	1938183													9.714810	0.190619	1.469557	0.148308	-0.920243	-0.362156	0.016635	-0.363832	0.931316	-0.988801	-0.144146	-0.038651
7	1938350													9.692144	0.174930	1.444713	0.148503	-0.920208	-0.362167	0.016645	-0.363850	0.931309	-0.988772	-0.144330	-0.038716
8	1938516													9.711652	0.172409	1.475003	0.148671	-0.920200	-0.362117	0.016695	-0.363799	0.931328	-0.988746	-0.144507	-0.038724
9	1938683													9.701825	0.195186	1.502379	0.148852	-0.920119	-0.362249	0.016752	-0.363931	0.931275	-0.988718	-0.144691	-0.038758
10	1938850													9.713830	0.163815	1.509556	0.149112	-0.920106	-0.362175	0.016826	-0.363856	0.931303	-0.988677	-0.144962	-0.038774
11	1939016													9.698298	0.175409	1.514055	0.149369	-0.920045	-0.362224	0.016902	-0.363905	0.931283	-0.988637	-0.145227	-0.038805
12	1939183													9.696530	0.193573	1.511770	0.149617	-0.919955	-0.362350	0.016917	-0.364040	0.931230	-0.988599	-0.145458	-0.038904
13	1939350													9.690557	0.177022	1.499851	0.149866	-0.919926	-0.362321	0.016945	-0.364016	0.931239	-0.988561	-0.145701	-0.038965
14	1939516													9.703327	0.175939	1.505973	0.150092	-0.919855	-0.362407	0.016976	-0.364107	0.931202	-0.988526	-0.145918	-0.039034
15	1939683													9.710984	0.176103	1.509960	0.150320	-0.919934	-0.362112	0.016989	-0.363816	0.931316	-0.988491	-0.146147	-0.039060
16	1939850													9.701775	0.171143	1.521268	0.150514	-0.919831	-0.362295	0.016984	-0.364009	0.931240	-0.988462	-0.146318	-0.039166
17	1940016													9.721455	0.172377	1.531439	0.150715	-0.919803	-0.362280	0.016946	-0.364008	0.931242	-0.988432	-0.146491	-0.039275
18	1940183													9.706195	0.157253	1.498123	0.150880	-0.919806	-0.362203	0.016867	-0.363949	0.931266	-0.988408	-0.146619	-0.039398
19	1940350													9.705705	0.168250	1.501460	0.151030	-0.919724	-0.362351	0.016783	-0.364117	0.931202	-0.988387	-0.146721	-0.039557
20	1940516													9.711635	0.167388	1.494068	0.151149	-0.919698	-0.362366	0.016679	-0.364153	0.931190	-0.988370	-0.146792	-0.039702
21	1940683													9.706056	0.172008	1.492817	0.151226	-0.919673	-0.362399	0.016548	-0.364209	0.931170	-0.988361	-0.146814	-0.039859
22	1940850													9.723006	0.176668	1.501431	0.151275	-0.919636	-0.362472	0.016409	-0.364306	0.931135	-0.988356	-0.146805	-0.040020
23	1941016													9.718125	0.178202	1.498570	0.151310	-0.919583	-0.362591	0.016288	-0.364445	0.931082	-0.988352	-0.146788	-0.040166
24	1941183													9.731135	0.183116	1.493793	0.151323	-0.919511	-0.362768	0.016184	-0.364641	0.931008	-0.988352	-0.146754	-0.040298
25	1941350													9.705022	0.186789	1.491947	0.151326	-0.919447	-0.362929	0.016096	-0.364816	0.930940	-0.988353	-0.146717	-0.040407
26	1941516													9.722717	0.178256	1.518296	0.151325	-0.919417	-0.363006	0.016027	-0.364905	0.930907	-0.988354	-0.146688	-0.040484
27	1941683													9.703123	0.177094	1.509567	0.151308	-0.919483	-0.362846	0.015986	-0.364748	0.930969	-0.988357	-0.146664	-0.040490
