// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1936516													0.137700	-0.162445	-0.315440	-0.346182	-0.862430	0.369286	-0.020890	0.400613	0.916009	-0.937935	0.309391	-0.156701
1	1936683													9.092715	-0.223835	-3.335421	-0.345093	-0.863271	0.368340	-0.020966	0.399441	0.916519	-0.938334	0.308561	-0.155943
2	1936850													9.087628	-0.174249	-3.333683	-0.344197	-0.864128	0.367167	-0.021674	0.398271	0.917012	-0.938647	0.307674	-0.155813
3	1937016													9.099266	-0.181826	-3.312812	-0.343559	-0.864485	0.366924	-0.021558	0.397862	0.917192	-0.938884	0.307200	-0.155325
4	1937850													9.117660	-0.177781	-3.304971	-0.342890	-0.864895	0.366583	-0.021318	0.397305	0.917439	-0.939134	0.306766	-0.154670
5	1938016													9.137817	-0.207293	-3.326664	-0.342200	-0.864944	0.367111	-0.021101	0.397674	0.917284	-0.939390	0.306149	-0.154335
6	1938183													9.140560	-0.208828	-3.305205	-0.341628	-0.865259	0.366902	-0.021119	0.397359	0.917420	-0.939598	0.305668	-0.154023
7	1938350													9.133712	-0.201128	-3.285520	-0.341064	-0.865355	0.367202	-0.021218	0.397611	0.917309	-0.939801	0.305069	-0.153972
8	1938516													9.126456	-0.209819	-3.290953	-0.340490	-0.865714	0.366886	-0.021305	0.397204	0.917483	-0.940007	0.304577	-0.153689
9	1938683													9.129549	-0.210936	-3.270499	-0.339968	-0.865966	0.366776	-0.021372	0.397019	0.917562	-0.940194	0.304102	-0.153481
10	1938850													9.145877	-0.218225	-3.269469	-0.339472	-0.866080	0.366966	-0.021389	0.397141	0.917508	-0.940373	0.303619	-0.153343
11	1939016													9.163767	-0.211776	-3.260054	-0.338965	-0.866255	0.367023	-0.021457	0.397135	0.917509	-0.940554	0.303128	-0.153202
12	1939183													9.158455	-0.205265	-3.254992	-0.338430	-0.866329	0.367341	-0.021525	0.397401	0.917392	-0.940745	0.302566	-0.153141
13	1939350													9.158269	-0.214869	-3.254774	-0.337868	-0.866454	0.367563	-0.021574	0.397556	0.917324	-0.940946	0.302005	-0.153014
14	1939516													9.156677	-0.200221	-3.260599	-0.337285	-0.866586	0.367787	-0.021620	0.397707	0.917258	-0.941154	0.301426	-0.152876
15	1939683													9.141392	-0.191994	-3.241807	-0.336734	-0.866688	0.368053	-0.021615	0.397892	0.917178	-0.941352	0.300890	-0.152717
16	1939850													9.137517	-0.200262	-3.234365	-0.336248	-0.866815	0.368198	-0.021660	0.397976	0.917140	-0.941524	0.300411	-0.152594
17	1940016													9.146414	-0.202804	-3.219577	-0.335805	-0.866937	0.368313	-0.021705	0.398037	0.917113	-0.941681	0.299977	-0.152480
18	1940183													9.142281	-0.195982	-3.228901	-0.335388	-0.867044	0.368441	-0.021826	0.398140	0.917065	-0.941827	0.299531	-0.152456
19	1940350													9.155734	-0.199762	-3.237151	-0.335064	-0.867113	0.368574	-0.021949	0.398264	0.917008	-0.941940	0.299166	-0.152477
20	1940516													9.134465	-0.220200	-3.247004	-0.334755	-0.867239	0.368560	-0.022121	0.398251	0.917010	-0.942045	0.298821	-0.152501
21	1940683													9.136394	-0.209965	-3.233280	-0.334523	-0.867337	0.368540	-0.022340	0.398259	0.917001	-0.942123	0.298525	-0.152603
22	1940850													9.141195	-0.205886	-3.233039	-0.334355	-0.867455	0.368414	-0.022565	0.398169	0.917035	-0.942177	0.298302	-0.152703
23	1941016													9.125587	-0.213130	-3.225304	-0.334278	-0.867560	0.368237	-0.022813	0.398047	0.917082	-0.942198	0.298160	-0.152849
24	1941183													9.123611	-0.202083	-3.240102	-0.334288	-0.867621	0.368085	-0.023053	0.397963	0.917112	-0.942189	0.298094	-0.153036
25	1941350													9.131907	-0.209115	-3.249508	-0.334389	-0.867695	0.367817	-0.023241	0.397757	0.917196	-0.942149	0.298152	-0.153172
26	1941516													9.128090	-0.188879	-3.237902	-0.334498	-0.867792	0.367488	-0.023413	0.397483	0.917311	-0.942106	0.298235	-0.153275
27	1941683													9.150017	-0.188391	-3.246810	-0.334622	-0.867750	0.367475	-0.023545	0.397533	0.917286	-0.942058	0.298292	-0.153455
28	1941850													9.161893	-0.188087	-3.256222	-0.334724	-0.867648	0.367623	-0.023683	0.397750	0.917188	-0.942018	0.298299	-0.153685
29	1942016													9.158624	-0.182397	-3.279139	-0.334816	-0.867584	0.367689	-0.023771	0.397864	0.917137	-0.941984	0.298332	-0.153835
30	1942183													9.156782	-0.180777	-3.254288	-0.334920	-0.867431	0.367956	-0.023802	0.398173	0.917001	-0.941946	0.298364	-0.154003
31	1942350													9.134817	-0.226902	-3.249061	-0.335001	-0.867308	0.368172	-0.023827	0.398424	0.916892	-0.941917	0.298387	-0.154138
32	1942516													9.144508	-0.198970	-3.260477	-0.335084	-0.867188	0.368379	-0.023922	0.398687	0.916775	-0.941884	0.298384	-0.154339
33	1942683													9.160004	-0.208148	-3.264294	-0.335217	-0.867055	0.368573	-0.023980	0.398934	0.916666	-0.941836	0.298443	-0.154521
34	1942850													9.128311	-0.214316	-3.300944	-0.335338	-0.866896	0.368836	-0.023981	0.399233	0.916536	-0.941793	0.298504	-0.154667
35	1943016													9.146919	-0.193770	-3.281056	-0.335517	-0.866700	0.369132	-0.023899	0.399551	0.916399	-0.941731	0.298646	-0.154769
36	1943183													9.195467	-0.208067	-3.259746	-0.335635	-0.866429	0.369661	-0.023705	0.400069	0.916178	-0.941694	0.298739	-0.154816
37	1943350													9.199304	-0.213148	-3.257554	-0.335646	-0.866338	0.369865	-0.023585	0.400248	0.916103	-0.941693	0.298763	-0.154775
38	1943516													9.169879	-0.186919	-3.252765	-0.335560	-0.866230	0.370196	-0.023475	0.400549	0.915975	-0.941726	0.298674	-0.154743
39	1943683													9.130990	-0.183849	-3.254096	-0.335401	-0.866210	0.370386	-0.023426	0.400707	0.915907	-0.941784	0.298519	-0.154689
40	1943850													9.139960	-0.182938	-3.246219	-0.335256	-0.866196	0.370551	-0.023418	0.400853	0.915843	-0.941836	0.298365	-0.154673
