// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3834228													-0.048533	-0.000497	-0.005627	0.179262	-0.818772	-0.545415	0.039379	-0.547980	0.835564	-0.983013	-0.171263	-0.065990
1	3834395													9.623058	0.341307	1.809019	0.178882	-0.818902	-0.545345	0.039341	-0.547889	0.835626	-0.983084	-0.170933	-0.065791
2	3834561													9.609687	0.277571	1.808125	0.179691	-0.819167	-0.544679	0.038394	-0.547430	0.835970	-0.982973	-0.171129	-0.066918
3	3834728													9.692140	0.370200	1.775888	0.180534	-0.819316	-0.544178	0.036679	-0.547275	0.836148	-0.982885	-0.170913	-0.068750
4	3834895													9.683622	0.397692	1.745962	0.180896	-0.819586	-0.543650	0.035873	-0.546903	0.836427	-0.982848	-0.170809	-0.069531
5	3835061													9.639912	0.328396	1.732572	0.180871	-0.819842	-0.543272	0.035689	-0.546547	0.836668	-0.982859	-0.170718	-0.069596
6	3835228													9.630576	0.333728	1.769515	0.180630	-0.820160	-0.542872	0.035447	-0.546164	0.836928	-0.982912	-0.170418	-0.069581
7	3835395													9.675557	0.350518	1.732734	0.180416	-0.820544	-0.542362	0.035190	-0.545673	0.837259	-0.982961	-0.170141	-0.069574
8	3835561													9.694948	0.355225	1.728199	0.180200	-0.820986	-0.541765	0.035033	-0.545075	0.837655	-0.983006	-0.169925	-0.069461
9	3835728													9.661675	0.346788	1.771582	0.179942	-0.821198	-0.541531	0.034921	-0.544837	0.837815	-0.983057	-0.169669	-0.069362
10	3835895													9.652707	0.352735	1.722514	0.179657	-0.821106	-0.541765	0.034792	-0.545077	0.837664	-0.983114	-0.169341	-0.069359
11	3836061													9.674081	0.360394	1.746629	0.179409	-0.821294	-0.541562	0.034685	-0.544871	0.837802	-0.983163	-0.169093	-0.069268
12	3836228													9.667190	0.368099	1.756633	0.179229	-0.821410	-0.541445	0.034610	-0.544751	0.837883	-0.983198	-0.168912	-0.069206
13	3836395													9.644073	0.362670	1.758178	0.179061	-0.821596	-0.541218	0.034566	-0.544516	0.838038	-0.983231	-0.168768	-0.069102
14	3836561													9.670131	0.335724	1.730802	0.178834	-0.821685	-0.541158	0.034429	-0.544461	0.838079	-0.983277	-0.168509	-0.069078
15	3836728													9.644801	0.341213	1.766085	0.178750	-0.821819	-0.540983	0.034376	-0.544286	0.838195	-0.983294	-0.168424	-0.069040
16	3836895													9.670676	0.381342	1.749027	0.178563	-0.821910	-0.540906	0.034451	-0.544182	0.838260	-0.983325	-0.168316	-0.068855
17	3837061													9.680935	0.401197	1.764576	0.178533	-0.821916	-0.540906	0.034295	-0.544206	0.838250	-0.983336	-0.168205	-0.068971
18	3837228													9.644262	0.285768	1.763539	0.178516	-0.821872	-0.540979	0.034225	-0.544291	0.838198	-0.983342	-0.168147	-0.069037
19	3837395													9.667701	0.325921	1.774557	0.178438	-0.822052	-0.540731	0.034200	-0.544037	0.838364	-0.983357	-0.168089	-0.068963
20	3837561													9.651661	0.365993	1.761189	0.178399	-0.822143	-0.540606	0.034132	-0.543918	0.838444	-0.983366	-0.168030	-0.068973
21	3837728													9.647066	0.335448	1.757277	0.178297	-0.822154	-0.540623	0.034049	-0.543942	0.838432	-0.983387	-0.167898	-0.068990
22	3837895													9.655595	0.333857	1.727347	0.178195	-0.822124	-0.540702	0.033955	-0.544032	0.838377	-0.983409	-0.167755	-0.069028
23	3838061													9.668180	0.364076	1.744821	0.178111	-0.822085	-0.540789	0.033893	-0.544125	0.838319	-0.983426	-0.167643	-0.069052
24	3838228													9.672543	0.363493	1.754752	0.178057	-0.822038	-0.540879	0.033817	-0.544226	0.838257	-0.983439	-0.167548	-0.069105
25	3838395													9.664654	0.350286	1.766886	0.178067	-0.822070	-0.540826	0.033765	-0.544182	0.838288	-0.983439	-0.167532	-0.069143
26	3838561													9.645832	0.357410	1.753246	0.178106	-0.822044	-0.540853	0.033737	-0.544217	0.838266	-0.983433	-0.167547	-0.069195
27	3838728													9.659411	0.370388	1.767029	0.178079	-0.822043	-0.540863	0.033684	-0.544234	0.838257	-0.983439	-0.167495	-0.069227
28	3838895													9.667178	0.363343	1.748544	0.178020	-0.822144	-0.540729	0.033591	-0.544109	0.838342	-0.983453	-0.167406	-0.069246
29	3839061													9.662164	0.344260	1.749213	0.178024	-0.822120	-0.540765	0.033468	-0.544166	0.838310	-0.983457	-0.167338	-0.069359
30	3839228													9.647220	0.345648	1.764157	0.178022	-0.822127	-0.540755	0.033391	-0.544169	0.838311	-0.983460	-0.167294	-0.069422
31	3839395													9.647624	0.346967	1.771038	0.177969	-0.822241	-0.540598	0.033307	-0.544020	0.838411	-0.983472	-0.167217	-0.069432
32	3839561													9.666903	0.341971	1.761894	0.177920	-0.822278	-0.540559	0.033219	-0.543991	0.838433	-0.983484	-0.167131	-0.069472
33	3839728													9.648086	0.338828	1.771410	0.177871	-0.822197	-0.540698	0.033125	-0.544146	0.838337	-0.983496	-0.167026	-0.069553
34	3839895													9.650270	0.345766	1.801954	0.177822	-0.822139	-0.540801	0.033048	-0.544261	0.838265	-0.983508	-0.166934	-0.069612
35	3840061													9.660438	0.345776	1.780304	0.177771	-0.822169	-0.540774	0.032950	-0.544246	0.838279	-0.983520	-0.166840	-0.069661
36	3840228													9.654097	0.337941	1.786655	0.177666	-0.822208	-0.540749	0.032880	-0.544224	0.838295	-0.983541	-0.166716	-0.069656
37	3840395													9.665473	0.349860	1.758589	0.177611	-0.822154	-0.540848	0.032805	-0.544334	0.838227	-0.983554	-0.166621	-0.069709
38	3840561													9.667225	0.341656	1.767133	0.177535	-0.822137	-0.540899	0.032714	-0.544397	0.838190	-0.983571	-0.166504	-0.069754
39	3840728													9.667991	0.351931	1.759666	0.177491	-0.822104	-0.540964	0.032616	-0.544476	0.838142	-0.983582	-0.166407	-0.069826
40	3840895													9.646936	0.374346	1.761082	0.177435	-0.821972	-0.541183	0.032537	-0.544709	0.837994	-0.983595	-0.166298	-0.069906
41	3841061													9.653171	0.354227	1.779628	0.177395	-0.821996	-0.541160	0.032493	-0.544689	0.838008	-0.983603	-0.166242	-0.069915
42	3841228													9.661771	0.368593	1.762734	0.177306	-0.822071	-0.541074	0.032424	-0.544607	0.838064	-0.983621	-0.166138	-0.069907
43	3841395													9.641451	0.334397	1.754673	0.177193	-0.822092	-0.541080	0.032387	-0.544611	0.838063	-0.983643	-0.166023	-0.069876
44	3841561													9.699876	0.339922	1.782861	0.177128	-0.822158	-0.541001	0.032387	-0.544526	0.838119	-0.983655	-0.165976	-0.069823
45	3841728													9.662572	0.316114	1.778907	0.177093	-0.822153	-0.541020	0.032266	-0.544563	0.838099	-0.983665	-0.165878	-0.069911
46	3841895													9.605563	0.331847	1.738852	0.177092	-0.822283	-0.540822	0.032148	-0.544381	0.838222	-0.983669	-0.165829	-0.069971
47	3842061													9.656288	0.331615	1.753960	0.176857	-0.822275	-0.540912	0.032192	-0.544449	0.838176	-0.983710	-0.165650	-0.069819
48	3842228													9.722701	0.369217	1.746865	0.176703	-0.822155	-0.541143	0.032335	-0.544649	0.838040	-0.983733	-0.165582	-0.069657
49	3842395													9.716366	0.393042	1.743818	0.176777	-0.822077	-0.541239	0.032395	-0.544742	0.837978	-0.983718	-0.165668	-0.069667
50	3842561													9.617721	0.330095	1.809506	0.177001	-0.821959	-0.541345	0.032116	-0.544913	0.837877	-0.983686	-0.165691	-0.070053
51	3842728													9.603350	0.280178	1.823597	0.176879	-0.821962	-0.541380	0.032080	-0.544946	0.837857	-0.983710	-0.165567	-0.070020
52	3842895													9.694592	0.375203	1.776729	0.176647	-0.821930	-0.541504	0.032108	-0.545051	0.837788	-0.983750	-0.165380	-0.069891
53	3843061													9.670069	0.381646	1.752584	0.176597	-0.822162	-0.541168	0.032031	-0.544718	0.838007	-0.983762	-0.165324	-0.069861
54	3843228													9.636473	0.322353	1.772450	0.176626	-0.822113	-0.541233	0.031873	-0.544812	0.837952	-0.983762	-0.165255	-0.070024
55	3843395													9.630254	0.325403	1.766189	0.176595	-0.822174	-0.541151	0.031734	-0.544750	0.837998	-0.983772	-0.165159	-0.070109
56	3843561													9.652606	0.344445	1.743810	0.176496	-0.822293	-0.541002	0.031620	-0.544610	0.838093	-0.983793	-0.165027	-0.070121
57	3843728													9.694865	0.354130	1.782046	0.176494	-0.822344	-0.540926	0.031511	-0.544551	0.838136	-0.983797	-0.164971	-0.070197
58	3843895													9.659579	0.335520	1.752881	0.176474	-0.822331	-0.540952	0.031459	-0.544585	0.838115	-0.983802	-0.164923	-0.070235
59	3844061													9.671567	0.360199	1.744910	0.176410	-0.822315	-0.540996	0.031407	-0.544634	0.838086	-0.983816	-0.164838	-0.070252
60	3844228													9.678887	0.346056	1.758635	0.176373	-0.822289	-0.541049	0.031321	-0.544699	0.838046	-0.983825	-0.164755	-0.070315
61	3844395													9.664518	0.353050	1.751609	0.176388	-0.822256	-0.541094	0.031260	-0.544756	0.838012	-0.983824	-0.164730	-0.070385
62	3844561													9.647681	0.357742	1.783476	0.176390	-0.822279	-0.541058	0.031182	-0.544733	0.838029	-0.983826	-0.164691	-0.070446
63	3844728													9.659245	0.323745	1.737830	0.176354	-0.822267	-0.541088	0.031036	-0.544786	0.838001	-0.983837	-0.164578	-0.070555
64	3844895													9.626806	0.330470	1.770974	0.176390	-0.822338	-0.540968	0.031037	-0.544666	0.838079	-0.983831	-0.164618	-0.070551
65	3845061													9.671699	0.395521	1.758214	0.176348	-0.822392	-0.540899	0.031118	-0.544579	0.838132	-0.983836	-0.164635	-0.070444
66	3845228													9.677296	0.400703	1.794813	0.176442	-0.822409	-0.540844	0.030977	-0.544553	0.838154	-0.983824	-0.164639	-0.070606
67	3845395													9.644466	0.278512	1.780008	0.176499	-0.822413	-0.540818	0.030916	-0.544541	0.838164	-0.983815	-0.164655	-0.070685
68	3845561													9.644988	0.342429	1.809057	0.176463	-0.822491	-0.540711	0.030888	-0.544434	0.838235	-0.983823	-0.164619	-0.070667
69	3845728													9.660159	0.365056	1.782900	0.176420	-0.822577	-0.540595	0.030824	-0.544323	0.838309	-0.983832	-0.164558	-0.070674
70	3845895													9.657638	0.331686	1.764919	0.176352	-0.822553	-0.540654	0.030788	-0.544384	0.838271	-0.983846	-0.164476	-0.070678
71	3846061													9.667615	0.336253	1.755925	0.176253	-0.822583	-0.540641	0.030771	-0.544366	0.838283	-0.983864	-0.164386	-0.070635
72	3846228													9.675947	0.356991	1.744646	0.176147	-0.822597	-0.540654	0.030782	-0.544370	0.838280	-0.983882	-0.164303	-0.070568
73	3846395													9.683054	0.342576	1.767087	0.176152	-0.822606	-0.540638	0.030732	-0.544362	0.838287	-0.983883	-0.164281	-0.070610
74	3846561													9.663440	0.341546	1.760263	0.176180	-0.822791	-0.540348	0.030677	-0.544079	0.838473	-0.983880	-0.164298	-0.070615
75	3846728													9.646074	0.360778	1.766146	0.176106	-0.822902	-0.540202	0.030635	-0.543932	0.838570	-0.983894	-0.164226	-0.070580
76	3846895													9.659972	0.370112	1.753010	0.175947	-0.823011	-0.540089	0.030543	-0.543820	0.838646	-0.983926	-0.164053	-0.070546
