// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3834228													0.220852	-0.001448	0.022083	-0.128840	-0.959472	0.250627	-0.028000	0.256153	0.966231	-0.991270	0.117471	-0.059868
1	3834395													9.667620	-0.258373	-1.298758	-0.128964	-0.958841	0.252966	-0.027898	0.258503	0.965608	-0.991257	0.117471	-0.060087
2	3834561													9.672711	-0.273676	-1.286340	-0.129712	-0.958775	0.252835	-0.027738	0.258398	0.965640	-0.991164	0.118242	-0.060112
3	3834728													9.679319	-0.294104	-1.299222	-0.130289	-0.958273	0.254437	-0.027847	0.260060	0.965191	-0.991085	0.118668	-0.060568
4	3834895													9.697344	-0.308144	-1.292184	-0.130766	-0.958299	0.254094	-0.028240	0.259791	0.965252	-0.991011	0.119046	-0.061034
5	3835061													9.707970	-0.310826	-1.281652	-0.131062	-0.958199	0.254319	-0.028796	0.260103	0.965151	-0.990956	0.119171	-0.061682
6	3835228													9.706666	-0.291340	-1.291470	-0.131180	-0.958133	0.254505	-0.029359	0.260365	0.965064	-0.990924	0.119125	-0.062284
7	3835395													9.688082	-0.288982	-1.292429	-0.131278	-0.958224	0.254112	-0.029777	0.260026	0.965142	-0.990898	0.119135	-0.062669
8	3835561													9.689243	-0.285303	-1.279953	-0.131389	-0.958281	0.253841	-0.030096	0.259799	0.965194	-0.990874	0.119176	-0.062975
9	3835728													9.695224	-0.260187	-1.265445	-0.131471	-0.958151	0.254289	-0.030315	0.260281	0.965057	-0.990856	0.119168	-0.063265
10	3835895													9.692627	-0.249920	-1.274260	-0.131468	-0.958095	0.254500	-0.030449	0.260510	0.964991	-0.990853	0.119116	-0.063422
11	3836061													9.689384	-0.293195	-1.277750	-0.131450	-0.958040	0.254714	-0.030534	0.260735	0.964927	-0.990852	0.119063	-0.063526
12	3836228													9.672448	-0.276863	-1.283405	-0.131404	-0.957999	0.254896	-0.030739	0.260939	0.964866	-0.990852	0.118952	-0.063736
13	3836395													9.698821	-0.269746	-1.288636	-0.131350	-0.957953	0.255094	-0.030812	0.261144	0.964808	-0.990857	0.118867	-0.063817
14	3836561													9.696067	-0.304518	-1.280264	-0.131315	-0.957894	0.255334	-0.030842	0.261387	0.964741	-0.990861	0.118810	-0.063867
15	3836728													9.724005	-0.319448	-1.304196	-0.131237	-0.957888	0.255395	-0.030903	0.261451	0.964722	-0.990869	0.118714	-0.063914
16	3836895													9.712517	-0.310415	-1.273230	-0.131083	-0.957878	0.255512	-0.031031	0.261574	0.964685	-0.990886	0.118525	-0.064012
17	3837061													9.701371	-0.297498	-1.266824	-0.130912	-0.957910	0.255479	-0.031239	0.261555	0.964683	-0.990902	0.118308	-0.064165
18	3837228													9.706240	-0.302100	-1.273343	-0.130681	-0.957940	0.255488	-0.031423	0.261570	0.964673	-0.990926	0.118036	-0.064284
19	3837395													9.687051	-0.287792	-1.277185	-0.130455	-0.957954	0.255551	-0.031609	0.261641	0.964648	-0.990950	0.117765	-0.064412
