// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	383534													0.000000	0.000000	0.000000	0.291121	-0.835300	-0.466394	-0.055024	-0.501322	0.863510	-0.955103	-0.225723	-0.191906
1	383701													9.358298	-0.536467	2.892297	0.291591	-0.835023	-0.466596	-0.054778	-0.501571	0.863381	-0.954973	-0.226194	-0.191994
2	383868													9.382442	-0.551741	2.886729	0.292410	-0.834896	-0.466309	-0.054766	-0.501442	0.863456	-0.954724	-0.226946	-0.192350
3	384034													9.359306	-0.551931	2.916980	0.292985	-0.834946	-0.465859	-0.054977	-0.501147	0.863614	-0.954535	-0.227414	-0.192732
4	384201													9.357539	-0.551138	2.880963	0.293457	-0.834908	-0.465631	-0.055280	-0.501081	0.863633	-0.954373	-0.227699	-0.193200
5	384368													9.436947	-0.597234	2.797564	0.293757	-0.835234	-0.464857	-0.055519	-0.500400	0.864012	-0.954267	-0.228001	-0.193368
6	384534													9.340871	-0.543791	2.886271	0.293477	-0.835369	-0.464791	-0.055853	-0.500353	0.864018	-0.954333	-0.227609	-0.193500
7	384701													9.383031	-0.514534	2.882545	0.293420	-0.835579	-0.464449	-0.056041	-0.500032	0.864192	-0.954340	-0.227543	-0.193546
8	384868													9.355955	-0.541720	2.891492	0.293302	-0.835553	-0.464571	-0.056103	-0.500149	0.864120	-0.954372	-0.227384	-0.193571
9	385034													9.392420	-0.566964	2.869702	0.293185	-0.835823	-0.464158	-0.056178	-0.499715	0.864366	-0.954404	-0.227344	-0.193464
10	385201													9.371881	-0.536084	2.878343	0.293138	-0.835682	-0.464441	-0.056313	-0.500029	0.864176	-0.954410	-0.227168	-0.193637
11	385368													9.366266	-0.536714	2.870704	0.293099	-0.835667	-0.464493	-0.056370	-0.500089	0.864137	-0.954419	-0.227095	-0.193682
12	385534													9.338935	-0.538920	2.903183	0.293071	-0.835690	-0.464470	-0.056432	-0.500074	0.864142	-0.954424	-0.227044	-0.193717
13	385701													9.341157	-0.540499	2.864582	0.293042	-0.835621	-0.464612	-0.056500	-0.500231	0.864047	-0.954429	-0.226952	-0.193801
14	385868													9.404084	-0.523957	2.890208	0.292981	-0.835588	-0.464709	-0.056534	-0.500327	0.863989	-0.954445	-0.226860	-0.193825
15	386034													9.383210	-0.538616	2.880277	0.292923	-0.835748	-0.464458	-0.056515	-0.500050	0.864150	-0.954464	-0.226880	-0.193709
16	386201													9.373375	-0.548497	2.854825	0.292891	-0.835784	-0.464413	-0.056436	-0.499978	0.864197	-0.954479	-0.226905	-0.193608
17	386368													9.401123	-0.531160	2.860787	0.292865	-0.835763	-0.464467	-0.056379	-0.500015	0.864179	-0.954490	-0.226902	-0.193556
18	386534													9.367771	-0.507517	2.878021	0.292883	-0.835700	-0.464570	-0.056296	-0.500106	0.864133	-0.954490	-0.226936	-0.193519
19	386701													9.387029	-0.523078	2.865525	0.292872	-0.835634	-0.464695	-0.056235	-0.500218	0.864071	-0.954497	-0.226930	-0.193492
20	386868													9.382309	-0.541266	2.857132	0.292900	-0.835569	-0.464795	-0.056167	-0.500312	0.864022	-0.954492	-0.226966	-0.193473
21	387034													9.370082	-0.528016	2.853019	0.292929	-0.835617	-0.464690	-0.056131	-0.500200	0.864089	-0.954485	-0.227033	-0.193427
22	387201													9.366409	-0.525030	2.876751	0.293001	-0.835660	-0.464568	-0.056094	-0.500080	0.864160	-0.954465	-0.227140	-0.193399
23	387368													9.351317	-0.517295	2.886947	0.293071	-0.835677	-0.464492	-0.056085	-0.500014	0.864199	-0.954444	-0.227221	-0.193409
24	387534													9.374012	-0.533516	2.895298	0.293205	-0.835639	-0.464476	-0.056084	-0.500025	0.864193	-0.954403	-0.227336	-0.193476
25	387701													9.362521	-0.546233	2.900322	0.293335	-0.835589	-0.464485	-0.056106	-0.500067	0.864167	-0.954362	-0.227430	-0.193569
26	387868													9.363819	-0.545804	2.861724	0.293420	-0.835445	-0.464690	-0.056102	-0.500296	0.864035	-0.954336	-0.227455	-0.193667
27	388034													9.383686	-0.543526	2.886375	0.293542	-0.835389	-0.464714	-0.056091	-0.500343	0.864008	-0.954299	-0.227557	-0.193729
28	388201													9.363308	-0.532401	2.890377	0.293669	-0.835404	-0.464605	-0.056098	-0.500260	0.864056	-0.954260	-0.227683	-0.193776
29	388368													9.369788	-0.552589	2.904256	0.293779	-0.835373	-0.464592	-0.056081	-0.500266	0.864054	-0.954227	-0.227786	-0.193816
30	388534													9.379703	-0.541317	2.890688	0.293938	-0.835244	-0.464724	-0.056077	-0.500434	0.863957	-0.954178	-0.227890	-0.193935
31	388701													9.382552	-0.533774	2.880485	0.294043	-0.835270	-0.464611	-0.056071	-0.500338	0.864013	-0.954146	-0.228006	-0.193955
32	388868													9.362550	-0.533663	2.889139	0.294159	-0.835229	-0.464610	-0.056088	-0.500365	0.863996	-0.954109	-0.228094	-0.194033
33	389034													9.371526	-0.534686	2.899179	0.294310	-0.835057	-0.464824	-0.056112	-0.500624	0.863844	-0.954061	-0.228156	-0.194195
34	389201													9.375931	-0.513563	2.917694	0.294461	-0.834939	-0.464941	-0.056130	-0.500781	0.863752	-0.954014	-0.228245	-0.194325
35	389368													9.373736	-0.533581	2.878850	0.294611	-0.834889	-0.464935	-0.056179	-0.500819	0.863727	-0.953965	-0.228343	-0.194450
36	389534													9.361378	-0.529025	2.901134	0.294763	-0.834844	-0.464920	-0.056202	-0.500841	0.863713	-0.953916	-0.228461	-0.194549
37	389701													9.364532	-0.517989	2.901663	0.294903	-0.834843	-0.464832	-0.056235	-0.500787	0.863742	-0.953871	-0.228580	-0.194631
