// Start Time: Unknown
// Update Rate: 60.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	1552647													-0.457116	-0.179037	-0.305243	0.061716	-0.870276	0.488683	-0.039054	0.487136	0.872453	-0.997329	-0.072929	-0.003924
1	1552814													9.862098	-0.335992	0.629242	0.062407	-0.869511	0.489955	-0.038299	0.488464	0.871743	-0.997316	-0.073168	-0.002818
2	1552980													9.749806	-0.291292	0.700852	0.063123	-0.869147	0.490509	-0.037510	0.489076	0.871434	-0.997301	-0.073407	-0.001730
3	1553147													9.751237	-0.217714	0.748323	0.064486	-0.869155	0.490317	-0.036532	0.488954	0.871544	-0.997250	-0.074114	-0.000222
4	1553314													9.803574	-0.261605	0.767378	0.065988	-0.869184	0.490066	-0.035142	0.488808	0.871684	-0.997201	-0.074742	0.001711
5	1553480													9.870374	-0.336743	0.787230	0.067411	-0.868631	0.490852	-0.034287	0.489663	0.871237	-0.997136	-0.075561	0.003226
6	1553647													9.897602	-0.420241	0.778899	0.068798	-0.868177	0.491463	-0.034275	0.490282	0.870889	-0.997042	-0.076760	0.003974
7	1553814													9.870657	-0.446454	0.795295	0.070066	-0.867932	0.491716	-0.034992	0.490486	0.870746	-0.996928	-0.078216	0.003996
8	1553980													9.799143	-0.470047	0.774334	0.071152	-0.867249	0.492764	-0.035996	0.491461	0.870155	-0.996816	-0.079651	0.003751
9	1554147													9.711221	-0.519507	0.715798	0.071826	-0.866664	0.493695	-0.036937	0.492323	0.869628	-0.996733	-0.080698	0.003349
10	1554314													9.731709	-0.558579	0.702636	0.071970	-0.866277	0.494352	-0.037751	0.492916	0.869257	-0.996692	-0.081223	0.002772
11	1554481													9.776883	-0.557376	0.684967	0.071753	-0.866013	0.494847	-0.038558	0.493347	0.868978	-0.996677	-0.081432	0.002007
12	1554647													9.815294	-0.544359	0.653752	0.071385	-0.865860	0.495167	-0.039444	0.493594	0.868797	-0.996669	-0.081551	0.001083
13	1554814													9.829422	-0.496729	0.635686	0.070944	-0.865929	0.495110	-0.040344	0.493463	0.868830	-0.996664	-0.081613	0.000073
14	1554981													9.844184	-0.429955	0.615217	0.070488	-0.865916	0.495198	-0.041222	0.493480	0.868780	-0.996660	-0.081652	-0.000910
15	1555147													9.828247	-0.410415	0.585624	0.070060	-0.865992	0.495125	-0.042088	0.493337	0.868819	-0.996654	-0.081709	-0.001885
16	1555314													9.829147	-0.390622	0.558578	0.069621	-0.866149	0.494913	-0.042950	0.493054	0.868938	-0.996649	-0.081752	-0.002874
17	1555481													9.779991	-0.387224	0.537914	0.069150	-0.866269	0.494770	-0.043895	0.492835	0.869015	-0.996640	-0.081810	-0.003946
18	1555647													9.820327	-0.396486	0.555387	0.068596	-0.866409	0.494600	-0.044904	0.492584	0.869106	-0.996633	-0.081827	-0.005115
19	1555814													9.868515	-0.389182	0.551602	0.068191	-0.866465	0.494559	-0.046000	0.492455	0.869121	-0.996611	-0.082016	-0.006277
20	1555981													9.919068	-0.375073	0.552607	0.068015	-0.866513	0.494500	-0.047071	0.492308	0.869147	-0.996573	-0.082392	-0.007303
21	1556147													9.893417	-0.408626	0.563295	0.067998	-0.866451	0.494610	-0.048091	0.492334	0.869077	-0.996526	-0.082882	-0.008191
22	1556314													9.867914	-0.466318	0.548042	0.068099	-0.866242	0.494962	-0.049164	0.492597	0.868868	-0.996466	-0.083504	-0.009043
23	1556481													9.840570	-0.515287	0.562819	0.068178	-0.866120	0.495165	-0.050268	0.492707	0.868742	-0.996406	-0.084120	-0.009946
24	1556647													9.838396	-0.553644	0.578493	0.068228	-0.865929	0.495492	-0.051441	0.492935	0.868544	-0.996343	-0.084747	-0.010912
25	1556814													9.830928	-0.597537	0.565940	0.068250	-0.865996	0.495372	-0.052599	0.492716	0.868599	-0.996281	-0.085338	-0.011923
26	1556981													9.779528	-0.631731	0.613633	0.068220	-0.865923	0.495503	-0.053719	0.492751	0.868511	-0.996223	-0.085868	-0.012901
27	1557147													9.768511	-0.650159	0.616245	0.068107	-0.865884	0.495587	-0.054791	0.492745	0.868447	-0.996172	-0.086301	-0.013883
28	1557314													9.798723	-0.665183	0.649050	0.067953	-0.865930	0.495528	-0.055843	0.492596	0.868464	-0.996124	-0.086686	-0.014883
29	1557481													9.761749	-0.684024	0.613720	0.067771	-0.866077	0.495296	-0.056775	0.492285	0.868581	-0.996084	-0.086985	-0.015808
30	1557647													9.766097	-0.680760	0.596882	0.067482	-0.866278	0.494983	-0.057602	0.491904	0.868742	-0.996056	-0.087136	-0.016704
31	1557814													9.783578	-0.670411	0.612547	0.067177	-0.866437	0.494747	-0.058340	0.491608	0.868860	-0.996034	-0.087231	-0.017523
32	1557981													9.820291	-0.658188	0.592637	0.066902	-0.866686	0.494348	-0.058994	0.491156	0.869072	-0.996014	-0.087306	-0.018270
33	1558147													9.827557	-0.605790	0.613003	0.066755	-0.866830	0.494115	-0.059563	0.490874	0.869192	-0.995990	-0.087454	-0.018862
34	1558314													9.845840	-0.613473	0.594542	0.066657	-0.866945	0.493927	-0.059975	0.490652	0.869289	-0.995972	-0.087567	-0.019290
35	1558481													9.830259	-0.579723	0.606153	0.066749	-0.866960	0.493888	-0.060283	0.490583	0.869307	-0.995947	-0.087798	-0.019517
36	1558647													9.828872	-0.599714	0.628823	0.066900	-0.866838	0.494080	-0.060485	0.490756	0.869195	-0.995925	-0.088034	-0.019599
37	1558814													9.856979	-0.581146	0.623680	0.067070	-0.866647	0.494393	-0.060623	0.491053	0.869018	-0.995905	-0.088256	-0.019604
38	1558981													9.871449	-0.560615	0.664945	0.067368	-0.866373	0.494834	-0.060603	0.491491	0.868771	-0.995886	-0.088516	-0.019394
