sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
295048,0,0,0,0,0,0,0.699053109,-0.334599346,-0.465119153,-0.42782262,0,0,0,0,0,0,0.398901016,-0.582111418,-0.517193198,-0.484288663
295215,9.174222946,-0.64757961,3.39080596,0.35266763,-0.426080078,0.035531219,0.698202729,-0.335315466,-0.465192705,-0.428569973,9.546672821,0.267637223,-2.126744509,-0.736006558,-0.981760383,0.567225218,0.398675054,-0.582988024,-0.516673028,-0.483975381
295382,9.209452629,-0.711468577,3.361552715,0.285523981,-0.407946289,0.370955139,0.698478401,-0.334698886,-0.465485126,-0.428285301,9.56699276,0.26766023,-2.125102282,-0.448747277,-0.852685153,0.584641874,0.398947507,-0.58368969,-0.516441166,-0.483152032
295548,9.196260452,-0.707940757,3.367422581,0.478887022,-0.578398764,0.428673327,0.698530257,-0.334767878,-0.465480953,-0.42815128,9.562632561,0.280046105,-2.123245955,-0.114988208,-0.535241425,0.6683442,0.399334341,-0.584191263,-0.516272247,-0.482406199
295715,9.22190094,-0.680605888,3.353845835,0.440660059,-0.2664105,0.262165189,0.698435247,-0.335069984,-0.465260684,-0.428309351,9.553236008,0.284945071,-2.139390707,0.175658271,-0.265385956,0.607321918,0.399671137,-0.584436655,-0.516224205,-0.481881082
295882,9.193248749,-0.683903158,3.360401154,0.01482335,-0.24358958,0.161532879,0.69828105,-0.335332662,-0.465147972,-0.428477764,9.556055069,0.272474796,-2.107695103,0.319960237,0.075333349,0.575997591,0.400020391,-0.58445245,-0.516368389,-0.481417596
296048,9.198609352,-0.717058182,3.37016058,0.28417927,-0.259059638,0.248628899,0.69823271,-0.335443407,-0.465123624,-0.428496003,9.544056892,0.292140365,-2.104197502,0.452634037,0.394377917,0.476261735,0.400239795,-0.584513545,-0.516309381,-0.481224239
296215,9.211733818,-0.709269404,3.360780001,0.566751361,-0.314767241,0.359826416,0.698191285,-0.335588902,-0.465055436,-0.42852354,9.537233353,0.296453267,-2.127407074,0.505639493,0.390651315,0.40312469,0.400435954,-0.58449018,-0.516295731,-0.481104076
296382,9.215467453,-0.68787992,3.359149218,0.674568117,-0.168044925,0.290569663,0.698284984,-0.335571587,-0.465089828,-0.428347081,9.545454979,0.309989214,-2.096676588,0.261422366,0.545697749,0.363950044,0.400606066,-0.584417701,-0.51632607,-0.481017977
296548,9.208776474,-0.673131466,3.343424559,0.672659814,0.035979435,0.314748049,0.698277831,-0.335637718,-0.465039194,-0.428362012,9.530656815,0.340726733,-2.105663776,0.121717945,0.658188701,0.362733424,0.400794417,-0.584272683,-0.516393125,-0.480965137
296715,9.207386017,-0.663418889,3.358280182,0.37673077,0.075589478,0.34821102,0.69833988,-0.335615396,-0.465062618,-0.428252906,9.524141312,0.338699013,-2.076381683,-0.272877693,0.58138901,0.379560947,0.400838673,-0.584214568,-0.516367674,-0.481026262
296882,9.210493088,-0.661862969,3.355051041,0.492564231,0.218892515,0.39965415,0.698382199,-0.335592151,-0.465059608,-0.428205371,9.556577682,0.338323861,-2.076771975,-0.685114086,0.619859278,0.52989465,0.400832683,-0.584193707,-0.516274035,-0.481157184
297048,9.204063416,-0.667170107,3.370157003,0.245350435,0.114290267,0.465824574,0.698382616,-0.335618466,-0.465038002,-0.428207606,9.550814629,0.313984811,-2.058619022,-0.761324704,0.547708392,0.721426487,0.400849849,-0.584161997,-0.516190052,-0.481271267
297215,9.212338448,-0.686445832,3.363916397,0.13084887,0.10590212,0.508687437,0.698378623,-0.335655123,-0.465002149,-0.428224087,9.52471447,0.29206261,-2.051374197,-0.730730355,0.414919317,0.887780964,0.400928557,-0.584098816,-0.516147017,-0.481328636
