sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
2875313,0,0,0,0,0,0,0.697370112,-0.305069506,-0.487396121,-0.427846372,0,0,0,0,0,0,0.355610996,-0.629675865,-0.509141147,-0.466716409
2875480,9.221051216,-0.07162077,3.384535313,0.893223643,-0.514789581,0.113906078,0.697300673,-0.305021912,-0.487105131,-0.428324848,9.22339344,0.349534988,-3.040026665,-0.06811697,0.582592845,-0.085111,0.355624139,-0.629479408,-0.509268701,-0.466832459
2875647,9.202858925,-0.037689395,3.328291655,0.604146063,-0.818722844,-0.327804148,0.697280288,-0.304911733,-0.486683786,-0.428915203,9.198194504,0.379792899,-3.054531097,-0.690531194,0.322905689,-0.165470853,0.35483703,-0.629400373,-0.50944519,-0.467345208
2875813,9.204381943,-0.041888118,3.312644482,0.170318052,-0.465971828,-0.66194737,0.697328031,-0.304445714,-0.486808747,-0.429026544,9.258216858,0.339290917,-3.067078352,-1.220829368,0.065984719,0.162121981,0.353892773,-0.629285932,-0.509857237,-0.467765987
2875980,9.289148331,-0.062833965,3.346128464,0.113688365,-0.379541755,-0.272519082,0.697196603,-0.3042579,-0.486981928,-0.429176718,9.324860573,0.2868312,-3.048319578,-1.216270208,0.048811402,0.657689333,0.353246957,-0.629361451,-0.509987712,-0.468010217
2876147,9.329434395,-0.100727454,3.32869792,0.098410398,-0.003995582,0.043496769,0.697307765,-0.30398792,-0.487213373,-0.42892462,9.33456707,0.265243232,-3.017441034,-0.874071836,0.5768556,0.907656372,0.353061318,-0.629474699,-0.509820104,-0.468180418
2876313,9.204915047,-0.107186243,3.398151636,0.144397989,0.599522829,-0.120738253,0.697266042,-0.30403778,-0.487241864,-0.428924799,9.297638893,0.281368941,-2.999311686,-0.70429796,0.863231182,0.95418179,0.353200853,-0.62950927,-0.509567857,-0.468303353
2876480,9.194400787,-0.044277024,3.41199851,0.289596379,-0.607315481,-0.396356493,0.697286904,-0.304048002,-0.487287015,-0.428832322,9.235178947,0.270704299,-3.009141207,-0.523113728,0.920091391,0.585346222,0.353357255,-0.629534245,-0.509268403,-0.468477339
2876647,9.188387871,-0.065009654,3.394973755,-0.23433058,-0.815431535,-0.049022704,0.697310507,-0.304071039,-0.487258613,-0.42881003,9.231564522,0.23765111,-3.006540537,-0.168557167,0.855393708,0.290428787,0.353517234,-0.62954849,-0.509024024,-0.468603224
2876813,9.217271805,-0.095603868,3.383498907,0.214512751,-0.837868214,0.176721215,0.697341681,-0.304087132,-0.487211734,-0.42880106,9.254206657,0.264878929,-2.999711037,0.392802745,0.805474579,0.310432285,0.353709489,-0.629594564,-0.508774638,-0.468666971
