sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
2657197,-0.271695316,0.090682268,-0.382826447,-0.248948425,0.084460236,-0.228593096,0.720608652,-0.315303236,-0.394221097,-0.475285888,-0.14934364,0.217632219,-0.276581317,0.025051964,-0.010641817,-0.240630656,0.424893588,-0.578687012,-0.445985109,-0.534494221
2657364,8.508083344,-0.816941619,4.801795006,0.290608078,-0.016737899,0.38597697,0.720368922,-0.31572929,-0.393866241,-0.475660563,9.787789345,-0.167370081,-0.659631431,-0.329033554,0.20065628,0.576830029,0.425373226,-0.578446805,-0.446351051,-0.534066975
2657531,8.517045021,-0.824301481,4.795951366,0.227728918,0.214231014,0.507061005,0.72039777,-0.316081315,-0.393610954,-0.47559467,9.783315659,-0.174304336,-0.655504465,-0.052544449,0.080622382,0.633638978,0.425652772,-0.578468919,-0.44628185,-0.533878207
2657697,8.487520218,-0.829104304,4.79645586,0.047044124,0.277046174,0.625788689,0.720326006,-0.316556513,-0.393328905,-0.475620449,9.809972763,-0.163944066,-0.661870122,0.308511347,-0.117600702,0.623854935,0.425841182,-0.578588128,-0.446074396,-0.533772111
2658198,8.508490562,-0.837476194,4.827053547,0.404174834,-0.082613774,0.573013783,0.720476091,-0.317133307,-0.392745882,-0.475490719,9.827711105,-0.14244391,-0.656413376,0.414996177,-0.012217257,0.467527777,0.42598778,-0.578625798,-0.445986569,-0.533687711
2658364,8.54039669,-0.838621318,4.756320477,0.551550388,-0.369527251,0.728406012,0.720348656,-0.317406774,-0.392517239,-0.475690186,9.75063324,-0.152957961,-0.652747214,0.481550694,0.156679288,0.49917227,0.426081002,-0.578584254,-0.445964575,-0.533676624
2658531,8.476392746,-0.819270015,4.843882561,0.654129088,0.708697021,0.458473682,0.720537663,-0.317347467,-0.392505586,-0.47545284,9.770986557,-0.148059532,-0.693365753,0.713870764,-0.319415987,0.777454317,0.426170588,-0.578579605,-0.445980012,-0.533597469
2658698,8.513997078,-0.781217456,4.790340424,0.269490421,-0.968813241,0.297062516,0.720580876,-0.317403227,-0.392596632,-0.47527498,9.788174629,-0.138067842,-0.677792907,0.734783471,-0.34753871,0.709644616,0.426231802,-0.578587532,-0.446072549,-0.533462465
2658864,8.584319115,-0.779450238,4.784099102,1.015716434,0.107259579,0.398475975,0.720508039,-0.317441255,-0.392539769,-0.475406975,9.794988632,-0.114338502,-0.699252248,0.507355571,-0.371089637,0.347621977,0.426210731,-0.578598797,-0.446171701,-0.533384144
2659031,8.505054474,-0.814315081,4.84305048,0.752212942,0.591262758,0.538513422,0.720552623,-0.317376643,-0.392536342,-0.475385338,9.775541306,-0.113970153,-0.686038136,0.107362032,-0.658771455,0.298650444,0.426115364,-0.578644395,-0.446299344,-0.533304095
