sampleTimeFine,W4_acc_x,W4_acc_y,W4_acc_z,W4_gyro_x,W4_gyro_y,W4_gyro_z,W4_quat_w,W4_quat_x,W4_quat_y,W4_quat_z,W5_acc_x,W5_acc_y,W5_acc_z,W5_gyro_x,W5_gyro_y,W5_gyro_z,W5_quat_w,W5_quat_x,W5_quat_y,W5_quat_z
369522,9.01223278,1.049220562,3.682280302,0.569235742,0.064511985,0.299645066,0.801469266,-0.07714197,-0.556158364,-0.205873847,9.088302612,0.409718245,-3.480304718,0.332331151,0.20988965,-0.002672258,0.565757155,0.012981983,-0.82438308,-0.011965229
370022,9.053935051,1.062918544,3.662034273,0.62231344,-0.024742361,0.306916684,0.801530063,-0.077007465,-0.556100547,-0.205844238,9.043688774,0.396211237,-3.490044117,0.223895505,-0.426327586,0.457624167,0.565598309,0.013094802,-0.824490905,-0.01190884
370522,9.085758209,1.070810676,3.672671795,0.599518538,-0.250154972,0.308195472,0.801528633,-0.076916307,-0.556118488,-0.205835208,9.05535984,0.39790833,-3.524369717,0.098145716,-1.06219697,0.16780372,0.565209091,0.013269469,-0.82475394,-0.011978987
371022,9.048036575,1.059743285,3.630964756,0.440647244,-0.367943466,0.267680466,0.801494122,-0.076869987,-0.55616647,-0.205857128,9.088861465,0.38562116,-3.546609879,0.436873645,-0.241216138,-0.03354837,0.56511122,0.013600266,-0.82481575,-0.011974079
371522,9.061451912,1.086935759,3.63713789,0.521165013,-0.393103659,0.232723355,0.801444292,-0.076809064,-0.556230903,-0.205899775,9.028722763,0.410883188,-3.547271013,0.670068622,-0.020549918,-0.118326388,0.565089881,0.014023356,-0.824824333,-0.011901175
372022,9.065289497,1.060286522,3.64883399,0.603851438,-0.293991119,0.216160521,0.801419377,-0.076706372,-0.556269407,-0.205930635,9.088162422,0.445463568,-3.554152012,0.27308473,0.370118439,-0.049816698,0.565209746,0.014312481,-0.824736238,-0.01196304
372522,9.060460091,1.082675338,3.624551535,0.794772685,-0.05523378,0.299303561,0.80146277,-0.076542206,-0.556239545,-0.205904037,9.082082748,0.437976211,-3.522704124,-0.245164767,1.34751606,0.452578545,0.565685749,0.014276726,-0.824408591,-0.012100197
373022,9.060237885,1.093453526,3.659438372,0.540837944,0.306980729,0.276543677,0.801587045,-0.076416142,-0.556063294,-0.205942154,9.04813385,0.376689702,-3.484477282,0.109355547,1.210505128,0.668664277,0.566111445,0.014263024,-0.824117303,-0.012047132
373522,9.061059952,1.06985414,3.667102098,0.336783499,0.154190585,0.400221914,0.801676691,-0.076412044,-0.555917203,-0.205990091,9.064148903,0.395457089,-3.483001947,0.934895575,0.637498021,0.290603817,0.56632483,0.014604524,-0.823968649,-0.011776575
374022,9.059965134,1.0661726,3.628758192,0.288627386,0.16785495,0.505618155,0.801782787,-0.076434478,-0.55576086,-0.205990821,9.08660984,0.441950083,-3.474592209,0.504640579,0.392128259,0.584927797,0.566452742,0.014687084,-0.823881269,-0.011625392
374522,9.057274818,1.079132438,3.663421631,0.671725035,0.126426414,0.629344583,0.80189383,-0.076374032,-0.555649281,-0.20588167,9.086306572,0.422350019,-3.464028597,-0.319211036,0.725353777,0.932923257,0.566710055,0.014492223,-0.823707521,-0.011643269
375022,9.05053997,1.084750295,3.675360441,0.27055335,0.177186519,0.471822202,0.801995933,-0.076397523,-0.555490196,-0.205904275,9.073165894,0.365209639,-3.468405247,-0.297060341,0.626975417,1.045316219,0.566932559,0.014251214,-0.823558807,-0.011633865
375523,9.040555954,1.072522283,3.684879303,0.061361618,0.057656322,0.479343802,0.802057207,-0.076518014,-0.555353284,-0.205990285,9.067327499,0.352163166,-3.477561951,0.766901791,-0.087262467,0.562768579,0.566887677,0.014403059,-0.823590338,-0.01139599
376023,9.035237312,1.0319947,3.685226917,0.167538151,0.064235799,0.506524742,0.802136242,-0.076586716,-0.555223525,-0.206006929,9.11759758,0.410766751,-3.477554798,0.68214941,-0.050670456,0.150532231,0.566856384,0.014732359,-0.823608041,-0.01124642
376523,9.064728737,1.062021255,3.671773672,0.818408966,-0.040032648,0.466524661,0.802205861,-0.076433204,-0.555189848,-0.205883384,9.101881981,0.404099554,-3.452100277,0.03406702,0.718233347,0.974095643,0.567109466,0.014589017,-0.823437989,-0.011137997
377023,9.051823616,1.057593465,3.704423189,0.491727531,0.097910941,0.549240887,0.802295625,-0.07642363,-0.555074275,-0.205849215,9.037828445,0.340846419,-3.44293642,0.0448457,0.164696053,0.816786826,0.567164719,0.014531299,-0.823402226,-0.011042914
377523,9.019282341,1.059338093,3.706449032,0.259949654,-0.450885862,0.461602718,0.802239358,-0.076518327,-0.555132568,-0.205875769,9.087768555,0.391757697,-3.476189375,0.318683863,-0.781481802,0.177971959,0.566874325,0.014737911,-0.823598564,-0.01103387
378023,9.038214684,1.046706915,3.665425062,0.308063149,-0.527455151,0.339942425,0.802150667,-0.076585218,-0.555224895,-0.205947563,9.091850281,0.395941824,-3.47648716,-0.019700436,-0.413303584,0.285122693,0.566717267,0.014787879,-0.823704183,-0.011148285
