// Start Time: Unknown
// Update Rate: 20.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3155638													9.501208	0.286492	-2.510173	-0.260961	-0.963068	0.066326	0.022059	0.062740	0.997786	-0.965097	0.261846	0.004872
1	3156138													9.495665	0.250004	-2.526184	-0.260544	-0.963203	0.066001	0.021616	0.062525	0.997809	-0.965220	0.261400	0.004530
2	3156638													9.470528	0.236347	-2.517796	-0.260486	-0.963219	0.065994	0.021931	0.062433	0.997808	-0.965228	0.261363	0.004862
3	3157138													9.497004	0.270719	-2.527339	-0.260509	-0.963204	0.066127	0.022234	0.062489	0.997798	-0.965215	0.261405	0.005137
4	3157638													9.484356	0.230000	-2.545553	-0.260694	-0.963141	0.066324	0.022483	0.062624	0.997784	-0.965160	0.261608	0.005329
5	3158138													9.494417	0.260510	-2.546540	-0.260807	-0.963136	0.065947	0.022904	0.062119	0.997806	-0.965119	0.261745	0.005859
6	3158638													9.498543	0.293527	-2.542728	-0.260928	-0.963084	0.066219	0.023222	0.062314	0.997786	-0.965079	0.261888	0.006105
7	3159138													9.489277	0.255010	-2.549600	-0.260916	-0.963074	0.066420	0.023291	0.062503	0.997773	-0.965081	0.261882	0.006123
8	3159638													9.486430	0.252918	-2.547316	-0.260978	-0.963097	0.065841	0.023224	0.061921	0.997811	-0.965065	0.261936	0.006207
9	3160138													9.494609	0.274483	-2.541148	-0.261140	-0.963082	0.065420	0.023093	0.061519	0.997839	-0.965025	0.262086	0.006175
10	3160638													9.494452	0.287473	-2.548128	-0.261342	-0.963042	0.065203	0.023198	0.061264	0.997852	-0.964968	0.262293	0.006330
11	3161138													9.492915	0.272910	-2.554351	-0.261307	-0.963029	0.065531	0.023264	0.061587	0.997831	-0.964975	0.262265	0.006310
12	3161638													9.484361	0.237335	-2.570777	-0.261106	-0.963064	0.065808	0.023375	0.061845	0.997812	-0.965027	0.262073	0.006363
13	3162138													9.498322	0.256315	-2.576915	-0.261235	-0.963056	0.065417	0.023569	0.061387	0.997836	-0.964987	0.262212	0.006662
14	3162638													9.518612	0.330524	-2.540971	-0.260630	-0.963206	0.065627	0.024247	0.061424	0.997817	-0.965134	0.261652	0.007346
15	3163138													9.482205	0.272078	-2.524578	-0.259975	-0.963350	0.066109	0.023973	0.062003	0.997788	-0.965318	0.260984	0.006975
16	3163638													9.484311	0.192531	-2.519644	-0.259563	-0.963520	0.065240	0.023533	0.061224	0.997847	-0.965439	0.260539	0.006783
17	3164138													9.532418	0.297563	-2.521668	-0.259179	-0.963709	0.063970	0.023251	0.059988	0.997928	-0.965549	0.260129	0.006859
18	3164638													9.462973	0.264696	-2.492721	-0.259037	-0.963750	0.063916	0.022947	0.060015	0.997934	-0.965595	0.259969	0.006569
19	3165138													9.484025	0.236947	-2.509166	-0.259388	-0.963638	0.064180	0.023382	0.060169	0.997914	-0.965490	0.260347	0.006925
20	3165638													9.522953	0.272865	-2.540208	-0.259754	-0.963532	0.064295	0.023851	0.060159	0.997904	-0.965380	0.260743	0.007355
21	3166138													9.481379	0.241124	-2.551056	-0.260039	-0.963453	0.064332	0.024067	0.060137	0.997900	-0.965298	0.261041	0.007550
22	3166638													9.489484	0.272575	-2.554471	-0.260493	-0.963355	0.063964	0.024411	0.059658	0.997920	-0.965167	0.261512	0.007975
23	3167138													9.508537	0.328322	-2.561294	-0.260693	-0.963269	0.064441	0.024710	0.060070	0.997888	-0.965106	0.261735	0.008142
24	3167638													9.489314	0.265224	-2.559523	-0.260717	-0.963232	0.064890	0.024749	0.060524	0.997860	-0.965098	0.261764	0.008059
25	3168138													9.494426	0.248812	-2.564072	-0.260679	-0.963280	0.064324	0.024756	0.059936	0.997895	-0.965108	0.261723	0.008223
26	3168638													9.509820	0.292458	-2.559457	-0.260452	-0.963372	0.063870	0.024701	0.059483	0.997924	-0.965171	0.261489	0.008304
27	3169138													9.492921	0.289008	-2.558370	-0.260038	-0.963479	0.063944	0.024603	0.059590	0.997920	-0.965285	0.261070	0.008208
28	3169638													9.493103	0.275867	-2.533188	-0.259710	-0.963562	0.064023	0.024591	0.059678	0.997915	-0.965374	0.260743	0.008196
29	3170138													9.494821	0.258811	-2.525651	-0.259428	-0.963657	0.063735	0.024387	0.059437	0.997934	-0.965454	0.260446	0.008081
30	3170638													9.487345	0.239099	-2.543808	-0.259363	-0.963703	0.063302	0.024253	0.059025	0.997962	-0.965475	0.260369	0.008064
31	3171138													9.532737	0.301665	-2.532686	-0.258856	-0.963850	0.063146	0.024657	0.058759	0.997968	-0.965601	0.259887	0.008556
32	3171638													9.499213	0.291903	-2.511250	-0.258322	-0.963961	0.063627	0.024789	0.059227	0.997937	-0.965741	0.259366	0.008596
33	3172138													9.479777	0.198285	-2.532849	-0.257880	-0.964094	0.063407	0.024400	0.059107	0.997953	-0.965869	0.258900	0.008282
34	3172639													9.526015	0.235785	-2.505150	-0.257490	-0.964284	0.062091	0.024059	0.057840	0.998036	-0.965982	0.258478	0.008307
35	3173139													9.503835	0.303387	-2.491848	-0.257116	-0.964420	0.061530	0.023762	0.057342	0.998072	-0.966088	0.258082	0.008173
36	3173639													9.480086	0.239116	-2.498818	-0.257221	-0.964364	0.061957	0.023804	0.057772	0.998046	-0.966059	0.258193	0.008095
37	3174139													9.501138	0.253879	-2.525830	-0.257734	-0.964215	0.062148	0.024409	0.057803	0.998030	-0.965908	0.258743	0.008638
38	3174639													9.511452	0.259087	-2.534015	-0.258112	-0.964099	0.062377	0.024604	0.057984	0.998014	-0.965802	0.259134	0.008755
39	3175139													9.485919	0.240495	-2.525436	-0.258565	-0.964000	0.062034	0.024872	0.057553	0.998033	-0.965674	0.259599	0.009095
40	3175639													9.509860	0.317960	-2.533442	-0.258954	-0.963898	0.062004	0.025234	0.057421	0.998031	-0.965560	0.260008	0.009454
41	3176139													9.513689	0.284047	-2.555357	-0.258946	-0.963868	0.062498	0.025381	0.057892	0.998000	-0.965558	0.260015	0.009473
42	3176639													9.480577	0.247207	-2.548281	-0.258696	-0.963929	0.062582	0.025601	0.057923	0.997993	-0.965620	0.259779	0.009693
43	3177139													9.496780	0.280377	-2.533192	-0.258611	-0.963972	0.062271	0.025586	0.057606	0.998011	-0.965643	0.259690	0.009766
44	3177639													9.506542	0.267951	-2.536617	-0.258646	-0.963971	0.062144	0.025435	0.057515	0.998021	-0.965637	0.259715	0.009643
