// Start Time: Unknown
// Update Rate: 100.0Hz
//Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	3155638													9.157795	-0.216926	3.845876	0.386261	-0.804175	0.451780	-0.029058	0.478941	0.877366	-0.921932	-0.352020	0.161628
1	3156138													9.171717	-0.206799	3.839635	0.386587	-0.804060	0.451705	-0.028956	0.478961	0.877359	-0.921798	-0.352255	0.161878
2	3156638													9.142717	-0.232853	3.844320	0.386649	-0.804104	0.451573	-0.028809	0.478885	0.877405	-0.921777	-0.352257	0.161995
3	3157138													9.166430	-0.220485	3.846065	0.386730	-0.804381	0.451011	-0.028530	0.478394	0.877682	-0.921752	-0.352293	0.162060
4	3157638													9.169309	-0.209036	3.859802	0.386829	-0.804580	0.450571	-0.028223	0.478050	0.877879	-0.921720	-0.352305	0.162216
5	3158138													9.171438	-0.213955	3.846699	0.386882	-0.804533	0.450610	-0.028031	0.478177	0.877816	-0.921703	-0.352242	0.162446
6	3158638													9.162041	-0.212679	3.846762	0.386854	-0.804577	0.450554	-0.027969	0.478133	0.877842	-0.921717	-0.352199	0.162464
7	3159138													9.176641	-0.217449	3.852319	0.386784	-0.804715	0.450369	-0.027961	0.477921	0.877958	-0.921747	-0.352172	0.162352
8	3159638													9.187450	-0.219874	3.838194	0.386714	-0.804807	0.450264	-0.027862	0.477831	0.878010	-0.921779	-0.352083	0.162361
9	3160138													9.172017	-0.202526	3.836385	0.386765	-0.805030	0.449823	-0.027788	0.477388	0.878253	-0.921760	-0.352177	0.162267
10	3160638													9.159285	-0.217437	3.858351	0.386825	-0.805041	0.449750	-0.027738	0.477339	0.878281	-0.921736	-0.352216	0.162317
11	3161138													9.180610	-0.230949	3.823765	0.386872	-0.805030	0.449730	-0.027659	0.477357	0.878274	-0.921719	-0.352218	0.162410
12	3161638													9.201695	-0.211417	3.849854	0.387021	-0.805276	0.449161	-0.027327	0.476890	0.878538	-0.921666	-0.352287	0.162561
13	3162138													9.165491	-0.208330	3.856786	0.386836	-0.805603	0.448734	-0.027198	0.476439	0.878787	-0.921748	-0.352151	0.162393
14	3162638													9.148649	-0.238172	3.845038	0.386597	-0.805834	0.448525	-0.027239	0.476149	0.878942	-0.921846	-0.352014	0.162128
15	3163138													9.156816	-0.225521	3.853672	0.386835	-0.805938	0.448132	-0.027260	0.475759	0.879153	-0.921746	-0.352303	0.162070
16	3163638													9.157687	-0.205385	3.894247	0.386779	-0.806152	0.447795	-0.027281	0.475372	0.879362	-0.921769	-0.352335	0.161871
17	3164138													9.184692	-0.222318	3.849741	0.386746	-0.806328	0.447508	-0.027219	0.475076	0.879524	-0.921785	-0.352333	0.161786
18	3164638													9.153027	-0.215015	3.838264	0.386851	-0.806447	0.447202	-0.026999	0.474847	0.879654	-0.921747	-0.352369	0.161922
19	3165138													9.165786	-0.244721	3.864206	0.386833	-0.806745	0.446680	-0.026831	0.474338	0.879934	-0.921760	-0.352372	0.161844
20	3165638													9.168245	-0.229753	3.848931	0.386593	-0.807056	0.446326	-0.026572	0.474005	0.880121	-0.921868	-0.352109	0.161802
21	3166138													9.177759	-0.204769	3.822287	0.386515	-0.807165	0.446196	-0.026296	0.473954	0.880157	-0.921908	-0.351927	0.161965
22	3166638													9.190497	-0.209724	3.845172	0.386408	-0.807312	0.446023	-0.026138	0.473805	0.880242	-0.921958	-0.351790	0.161981
23	3167138													9.181449	-0.203933	3.824471	0.386270	-0.807478	0.445841	-0.026115	0.473589	0.880359	-0.922016	-0.351699	0.161846
24	3167638													9.168921	-0.215645	3.824115	0.386356	-0.807618	0.445513	-0.026121	0.473246	0.880543	-0.921980	-0.351840	0.161746
25	3168138													9.181711	-0.223590	3.852161	0.386672	-0.807625	0.445226	-0.026110	0.472997	0.880677	-0.921848	-0.352158	0.161808
26	3168638													9.176044	-0.211214	3.835158	0.386836	-0.807707	0.444935	-0.026034	0.472741	0.880817	-0.921781	-0.352315	0.161846
27	3169138													9.162835	-0.217653	3.859302	0.387049	-0.807708	0.444748	-0.026075	0.472562	0.880912	-0.921690	-0.352553	0.161844
28	3169638													9.169859	-0.216469	3.848851	0.387151	-0.807724	0.444630	-0.026077	0.472452	0.880971	-0.921648	-0.352663	0.161847
29	3170138													9.186137	-0.227908	3.842708	0.387578	-0.807748	0.444214	-0.026040	0.472094	0.881164	-0.921469	-0.353087	0.161939
30	3170638													9.156708	-0.187065	3.871078	0.387368	-0.808046	0.443856	-0.025800	0.471754	0.881353	-0.921564	-0.352859	0.161894
31	3171138													9.160873	-0.230104	3.843698	0.387251	-0.807981	0.444076	-0.026008	0.471893	0.881272	-0.921607	-0.352823	0.161727
32	3171638													9.145546	-0.229226	3.859367	0.387353	-0.807884	0.444163	-0.026140	0.471957	0.881234	-0.921561	-0.352959	0.161696
33	3172138													9.156044	-0.236335	3.875747	0.387440	-0.807927	0.444010	-0.026230	0.471771	0.881331	-0.921522	-0.353109	0.161591
34	3172639													9.170298	-0.228799	3.852054	0.387430	-0.807939	0.443996	-0.026351	0.471708	0.881361	-0.921523	-0.353165	0.161463
35	3173139													9.172541	-0.219124	3.834662	0.387537	-0.807907	0.443961	-0.026192	0.471751	0.881343	-0.921482	-0.353181	0.161660
36	3173639													9.158616	-0.237412	3.859196	0.387324	-0.808109	0.443779	-0.026034	0.471573	0.881443	-0.921576	-0.352957	0.161613
37	3174139													9.160379	-0.234402	3.844002	0.387042	-0.808425	0.443449	-0.025823	0.471240	0.881627	-0.921700	-0.352678	0.161514
38	3174639													9.172360	-0.203393	3.845685	0.386996	-0.808636	0.443105	-0.025531	0.470968	0.881781	-0.921728	-0.352559	0.161618
39	3175139													9.169512	-0.209392	3.838591	0.386872	-0.808787	0.442936	-0.025336	0.470835	0.881858	-0.921785	-0.352388	0.161662
40	3175639													9.158372	-0.203681	3.864594	0.387159	-0.808787	0.442686	-0.025310	0.470627	0.881969	-0.921665	-0.352667	0.161737
41	3176139													9.162971	-0.217143	3.844226	0.386769	-0.808914	0.442796	-0.025346	0.470658	0.881952	-0.921828	-0.352335	0.161533
42	3176639													9.180882	-0.222786	3.819232	0.386860	-0.808966	0.442621	-0.025319	0.470494	0.882040	-0.921791	-0.352433	0.161533
43	3177139													9.184513	-0.210920	3.845823	0.387148	-0.809037	0.442240	-0.025282	0.470148	0.882225	-0.921671	-0.352732	0.161563
44	3177639													9.166165	-0.214278	3.853358	0.387040	-0.809283	0.441883	-0.025318	0.469725	0.882450	-0.921715	-0.352731	0.161312
45	3178139													9.150585	-0.213687	3.866978	0.387117	-0.809265	0.441850	-0.025412	0.469667	0.882478	-0.921680	-0.352851	0.161251
46	3178639													9.158555	-0.229351	3.863516	0.387120	-0.809293	0.441794	-0.025509	0.469570	0.882527	-0.921676	-0.352914	0.161135
47	3179139													9.188059	-0.234776	3.823949	0.387319	-0.809322	0.441567	-0.025538	0.469350	0.882643	-0.921592	-0.353141	0.161120
48	3179639													9.168478	-0.185439	3.878214	0.387338	-0.809660	0.440930	-0.025189	0.468793	0.882949	-0.921594	-0.353106	0.161187
49	3180139													9.154221	-0.226125	3.875803	0.387133	-0.809707	0.441025	-0.025367	0.468788	0.882946	-0.921675	-0.353005	0.160943
50	3180639													9.153851	-0.243057	3.839638	0.386937	-0.809842	0.440948	-0.025439	0.468640	0.883023	-0.921755	-0.352891	0.160732
51	3181139													9.156569	-0.229490	3.873531	0.387191	-0.809932	0.440561	-0.025427	0.468270	0.883219	-0.921649	-0.353177	0.160716
52	3181639													9.175428	-0.228587	3.833833	0.386994	-0.810178	0.440280	-0.025521	0.467891	0.883418	-0.921729	-0.353114	0.160394
53	3182139													9.157034	-0.207518	3.837414	0.387023	-0.810377	0.439889	-0.025353	0.467534	0.883611	-0.921722	-0.353130	0.160401
54	3182639													9.158551	-0.218075	3.848730	0.387043	-0.810488	0.439666	-0.025232	0.467341	0.883717	-0.921716	-0.353131	0.160431
55	3183139													9.161259	-0.235194	3.850032	0.386730	-0.810715	0.439523	-0.025048	0.467196	0.883799	-0.921853	-0.352801	0.160372
56	3183639													9.179556	-0.214465	3.829626	0.386571	-0.810815	0.439478	-0.024834	0.467199	0.883803	-0.921925	-0.352567	0.160470
57	3184139													9.181207	-0.208892	3.845841	0.386440	-0.810902	0.439433	-0.024741	0.467161	0.883826	-0.921983	-0.352418	0.160467
58	3184639													9.178839	-0.223056	3.851610	0.386238	-0.811066	0.439309	-0.024769	0.466976	0.883923	-0.922066	-0.352286	0.160275
59	3185139													9.172633	-0.221640	3.826838	0.385925	-0.811171	0.439390	-0.024879	0.466964	0.883927	-0.922195	-0.352061	0.160032
60	3185639													9.179457	-0.227703	3.821800	0.385825	-0.811304	0.439232	-0.024997	0.466727	0.884048	-0.922233	-0.352068	0.159794
61	3186139													9.179080	-0.219398	3.837276	0.385678	-0.811438	0.439113	-0.025060	0.466545	0.884142	-0.922293	-0.351999	0.159601
62	3186639													9.173371	-0.222816	3.839545	0.385479	-0.811634	0.438925	-0.025192	0.466254	0.884292	-0.922372	-0.351934	0.159285
63	3187139													9.167893	-0.222709	3.834942	0.385380	-0.811678	0.438931	-0.025268	0.466213	0.884312	-0.922412	-0.351887	0.159160
64	3187639													9.177585	-0.230174	3.814355	0.385373	-0.811723	0.438854	-0.025366	0.466090	0.884374	-0.922412	-0.351945	0.159029
65	3188139													9.184572	-0.214050	3.847373	0.385205	-0.811910	0.438656	-0.025151	0.465924	0.884467	-0.922488	-0.351734	0.159056
66	3188639													9.170044	-0.221696	3.840870	0.384715	-0.812212	0.438527	-0.025248	0.465655	0.884606	-0.922690	-0.351393	0.158637
67	3189139													9.150492	-0.250992	3.818297	0.384490	-0.812325	0.438515	-0.025363	0.465556	0.884655	-0.922780	-0.351264	0.158398
68	3189639													9.171652	-0.234093	3.839408	0.384407	-0.812267	0.438694	-0.025529	0.465673	0.884589	-0.922811	-0.351242	0.158272
69	3190139													9.189038	-0.237042	3.821522	0.384329	-0.812313	0.438678	-0.025744	0.465558	0.884643	-0.922837	-0.351287	0.158015
70	3190639													9.173205	-0.225322	3.802813	0.384032	-0.812473	0.438642	-0.025674	0.465491	0.884680	-0.922963	-0.351007	0.157904
71	3191139													9.178685	-0.227349	3.819261	0.383853	-0.812496	0.438756	-0.025726	0.465561	0.884642	-0.923036	-0.350860	0.157805
