// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5766642270.000000													9.715805	0.397601	-1.093201	-0.111080	-0.859756	0.498478	0.044823	0.496737	0.866743	-0.992800	0.118621	-0.016641
1	5766692273.000000													9.725824	0.450722	-1.100181	-0.111134	-0.859909	0.498203	0.044848	0.496458	0.866901	-0.992793	0.118685	-0.016608
2	5766742275.000000													9.733571	0.409002	-1.083753	-0.111010	-0.859585	0.498788	0.045091	0.497017	0.866568	-0.992796	0.118689	-0.016414
3	5766792277.000000													9.721428	0.426951	-1.102829	-0.111117	-0.859751	0.498479	0.045284	0.496684	0.866749	-0.992775	0.118884	-0.016257
4	5766842279.000000													9.718418	0.436028	-1.097103	-0.110979	-0.859462	0.499007	0.045238	0.497220	0.866445	-0.992793	0.118731	-0.016301
5	5766892281.000000													9.745260	0.423547	-1.100282	-0.111091	-0.859358	0.499162	0.045270	0.497374	0.866354	-0.992779	0.118841	-0.016350
6	5766942283.000000													9.720109	0.467715	-1.102876	-0.111054	-0.859311	0.499251	0.045550	0.497429	0.866308	-0.992770	0.118948	-0.016100
7	5766992286.000000													9.697722	0.389500	-1.092846	-0.111065	-0.859232	0.499384	0.045818	0.497532	0.866235	-0.992756	0.119089	-0.015890
8	5767042288.000000													9.748629	0.429647	-1.090741	-0.111105	-0.859625	0.498699	0.045727	0.496853	0.866629	-0.992756	0.119091	-0.015895
9	5767092290.000000													9.724478	0.482480	-1.095639	-0.111007	-0.859553	0.498844	0.045806	0.496988	0.866548	-0.992763	0.119043	-0.015797
10	5767142292.000000													9.725864	0.427538	-1.101405	-0.110963	-0.859698	0.498604	0.046135	0.496706	0.866692	-0.992753	0.119174	-0.015453
11	5767192294.000000													9.729671	0.458785	-1.077423	-0.110716	-0.859822	0.498445	0.046410	0.496508	0.866790	-0.992768	0.119100	-0.015067
12	5767242297.000000													9.714559	0.424018	-1.088330	-0.110531	-0.859757	0.498599	0.046549	0.496644	0.866705	-0.992782	0.119007	-0.014874
13	5767292299.000000													9.744342	0.448826	-1.108337	-0.110303	-0.859598	0.498924	0.046779	0.496940	0.866523	-0.992797	0.118920	-0.014603
14	5767342301.000000													9.706021	0.433550	-1.070875	-0.110095	-0.859626	0.498922	0.046820	0.496930	0.866526	-0.992818	0.118760	-0.014462
15	5767392303.000000													9.738232	0.460540	-1.090666	-0.110025	-0.859792	0.498651	0.046739	0.496666	0.866682	-0.992829	0.118663	-0.014459
16	5767442305.000000													9.729180	0.468433	-1.072681	-0.109893	-0.859690	0.498856	0.046833	0.496859	0.866566	-0.992839	0.118592	-0.014340
17	5767492307.000000													9.736065	0.465852	-1.095904	-0.109780	-0.859668	0.498918	0.047063	0.496893	0.866535	-0.992841	0.118609	-0.014090
18	5767542310.000000													9.717550	0.466528	-1.066716	-0.109687	-0.859787	0.498734	0.047309	0.496677	0.866645	-0.992840	0.118654	-0.013803
19	5767592312.000000													9.749013	0.458247	-1.066532	-0.109521	-0.859644	0.499016	0.047489	0.496938	0.866486	-0.992849	0.118596	-0.013602
20	5767642314.000000													9.720533	0.469121	-1.098603	-0.109414	-0.859459	0.499358	0.047868	0.497235	0.866294	-0.992843	0.118688	-0.013264
21	5767692316.000000													9.709174	0.405052	-1.066786	-0.109174	-0.859430	0.499460	0.048174	0.497299	0.866241	-0.992855	0.118632	-0.012889
22	5767742318.000000													9.743634	0.469582	-1.079056	-0.109168	-0.859600	0.499170	0.048099	0.497015	0.866408	-0.992859	0.118593	-0.012912
23	5767792320.000000													9.731576	0.510821	-1.059288	-0.108831	-0.859443	0.499514	0.048246	0.497339	0.866214	-0.992889	0.118370	-0.012661
24	5767842323.000000													9.717880	0.452102	-1.076674	-0.108715	-0.859399	0.499614	0.048318	0.497430	0.866157	-0.992898	0.118304	-0.012554
25	5767892325.000000													9.723496	0.483347	-1.070221	-0.108529	-0.859358	0.499725	0.048253	0.497547	0.866094	-0.992921	0.118110	-0.012532
26	5767942327.000000													9.735857	0.473851	-1.056686	-0.108297	-0.859368	0.499758	0.048397	0.497561	0.866078	-0.992940	0.117981	-0.012293
27	5767992329.000000													9.719388	0.450448	-1.067063	-0.108199	-0.859255	0.499975	0.048573	0.497757	0.865955	-0.992942	0.117980	-0.012120
28	5768042331.000000													9.728448	0.468336	-1.068248	-0.108024	-0.859293	0.499947	0.048626	0.497721	0.865973	-0.992958	0.117856	-0.011981
29	5768092333.000000													9.732483	0.480102	-1.058686	-0.107837	-0.859290	0.499992	0.048746	0.497750	0.865950	-0.992973	0.117754	-0.011789
30	5768142336.000000													9.724627	0.460982	-1.050108	-0.107796	-0.859223	0.500115	0.048828	0.497864	0.865879	-0.992973	0.117758	-0.011714
31	5768192338.000000													9.729970	0.494012	-1.081715	-0.107676	-0.859312	0.499988	0.048889	0.497727	0.865955	-0.992983	0.117687	-0.011582
32	5768242340.000000													9.718843	0.478027	-1.047561	-0.107582	-0.859125	0.500331	0.048945	0.498065	0.865757	-0.992991	0.117628	-0.011533
33	5768292342.000000													9.748394	0.483614	-1.051857	-0.107452	-0.859324	0.500016	0.049004	0.497739	0.865941	-0.993002	0.117550	-0.011373
34	5768342344.000000													9.717578	0.507496	-1.080381	-0.107414	-0.859198	0.500241	0.049303	0.497929	0.865815	-0.992991	0.117664	-0.011124
35	5768392347.000000													9.725611	0.406371	-1.081221	-0.107290	-0.859110	0.500419	0.049679	0.498064	0.865716	-0.992986	0.117743	-0.010757
36	5768442349.000000													9.738883	0.468755	-1.058581	-0.107287	-0.859417	0.499891	0.049631	0.497537	0.866022	-0.992989	0.117723	-0.010726
37	5768492351.000000													9.719568	0.496921	-1.050492	-0.107129	-0.859415	0.499929	0.049760	0.497558	0.866003	-0.992999	0.117651	-0.010538
38	5768542353.000000													9.723485	0.479180	-1.042975	-0.107122	-0.859625	0.499570	0.049824	0.497189	0.866211	-0.992997	0.117681	-0.010430
39	5768592355.000000													9.734884	0.499438	-1.032625	-0.106967	-0.859624	0.499605	0.049817	0.497223	0.866191	-0.993014	0.117543	-0.010363
40	5768642357.000000													9.717731	0.505058	-1.060482	-0.106900	-0.859545	0.499755	0.049961	0.497356	0.866107	-0.993014	0.117555	-0.010224
41	5768692360.000000													9.716114	0.461609	-1.040993	-0.106883	-0.859510	0.499819	0.050011	0.497415	0.866070	-0.993013	0.117564	-0.010180
42	5768742362.000000													9.730454	0.502219	-1.058617	-0.106869	-0.859766	0.499380	0.050080	0.496965	0.866324	-0.993011	0.117592	-0.010053
43	5768792364.000000													9.723504	0.500461	-1.036601	-0.106937	-0.859625	0.499608	0.050076	0.497196	0.866192	-0.993004	0.117647	-0.010122
44	5768842366.000000													9.726757	0.480232	-1.035399	-0.106822	-0.859668	0.499560	0.049846	0.497173	0.866218	-0.993028	0.117433	-0.010258
45	5768892368.000000													9.731579	0.526757	-1.046424	-0.106836	-0.859729	0.499452	0.049845	0.497065	0.866281	-0.993026	0.117445	-0.010251
46	5768942370.000000													9.742496	0.470184	-1.060884	-0.106803	-0.859567	0.499738	0.049932	0.497342	0.866117	-0.993026	0.117457	-0.010198
47	5768992373.000000													9.731586	0.475296	-1.041418	-0.106746	-0.859486	0.499889	0.049705	0.497521	0.866027	-0.993043	0.117292	-0.010388
48	5769042375.000000													9.728364	0.512978	-1.038441	-0.106711	-0.859150	0.500475	0.049610	0.498121	0.865687	-0.993052	0.117207	-0.010532
49	5769092377.000000													9.729578	0.432641	-1.070948	-0.106617	-0.858807	0.501082	0.049903	0.498697	0.865339	-0.993047	0.117266	-0.010313
50	5769142379.000000													9.713124	0.408936	-1.073617	-0.106656	-0.859200	0.500399	0.049793	0.498023	0.865733	-0.993048	0.117252	-0.010335
