// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5766642270.000000													9.510982	-0.057953	2.663888	0.271847	0.177364	0.945855	-0.006954	0.983205	-0.182369	-0.962315	0.042999	0.268515
1	5766692273.000000													9.494658	-0.046425	2.659358	0.272175	0.177348	0.945763	-0.007039	0.983209	-0.182345	-0.962222	0.042972	0.268853
2	5766742275.000000													9.503238	-0.055808	2.675537	0.272286	0.177600	0.945684	-0.007068	0.983161	-0.182603	-0.962190	0.043036	0.268957
3	5766792277.000000													9.524359	-0.068467	2.675413	0.272427	0.177648	0.945635	-0.007045	0.983150	-0.182666	-0.962151	0.043101	0.269088
4	5766842279.000000													9.514717	-0.043639	2.653182	0.272785	0.177667	0.945528	-0.007182	0.983149	-0.182664	-0.962048	0.043037	0.269464
5	5766892281.000000													9.470252	-0.054765	2.700063	0.273068	0.177765	0.945428	-0.007265	0.983131	-0.182757	-0.961967	0.043037	0.269753
6	5766942283.000000													9.515116	-0.051403	2.696833	0.273193	0.177719	0.945400	-0.007173	0.983135	-0.182739	-0.961932	0.043142	0.269861
7	5766992286.000000													9.519277	-0.076251	2.675979	0.273256	0.177711	0.945384	-0.007192	0.983137	-0.182729	-0.961915	0.043132	0.269926
8	5767042288.000000													9.509537	-0.057174	2.682864	0.273521	0.177643	0.945320	-0.007131	0.983145	-0.182688	-0.961840	0.043228	0.270178
9	5767092290.000000													9.507962	-0.065463	2.707544	0.273852	0.177558	0.945240	-0.007137	0.983159	-0.182614	-0.961745	0.043263	0.270507
10	5767142292.000000													9.497093	-0.045161	2.697105	0.274093	0.177719	0.945140	-0.007235	0.983130	-0.182764	-0.961676	0.043256	0.270755
11	5767192294.000000													9.496157	-0.077653	2.709083	0.274411	0.177883	0.945016	-0.007182	0.983093	-0.182965	-0.961586	0.043421	0.271050
12	5767242297.000000													9.475740	-0.047202	2.704455	0.274572	0.177989	0.944950	-0.007136	0.983069	-0.183096	-0.961540	0.043529	0.271194
13	5767292299.000000													9.497132	-0.071698	2.698431	0.274676	0.178193	0.944881	-0.007067	0.983026	-0.183332	-0.961511	0.043680	0.271273
14	5767342301.000000													9.512486	-0.065785	2.709103	0.274844	0.178240	0.944823	-0.007037	0.983014	-0.183397	-0.961463	0.043757	0.271430
15	5767392303.000000													9.507204	-0.048094	2.713158	0.275152	0.178314	0.944720	-0.007046	0.982997	-0.183486	-0.961375	0.043830	0.271730
16	5767442305.000000													9.502584	-0.072958	2.714849	0.275484	0.178397	0.944607	-0.007012	0.982976	-0.183599	-0.961280	0.043955	0.272045
17	5767492307.000000													9.522719	-0.053357	2.716222	0.275792	0.178382	0.944520	-0.006867	0.982970	-0.183639	-0.961193	0.044160	0.272320
18	5767542310.000000													9.495327	-0.075360	2.693562	0.276228	0.178425	0.944385	-0.007008	0.982964	-0.183664	-0.961067	0.044115	0.272773
19	5767592312.000000													9.464502	-0.063531	2.724525	0.276568	0.178439	0.944283	-0.007032	0.982959	-0.183688	-0.960968	0.044162	0.273110
20	5767642314.000000													9.501947	-0.057121	2.738624	0.276625	0.178421	0.944269	-0.006972	0.982960	-0.183689	-0.960953	0.044230	0.273155
21	5767692316.000000													9.498525	-0.081075	2.720572	0.276700	0.178268	0.944276	-0.006973	0.982989	-0.183533	-0.960931	0.044199	0.273236
22	5767742318.000000													9.483228	-0.043230	2.733925	0.276828	0.178339	0.944225	-0.006994	0.982975	-0.183607	-0.960894	0.044223	0.273363
23	5767792320.000000													9.493826	-0.079195	2.712265	0.277060	0.178176	0.944188	-0.006925	0.983001	-0.183468	-0.960828	0.044293	0.273584
24	5767842323.000000													9.499035	-0.058721	2.725814	0.277313	0.178097	0.944129	-0.006962	0.983016	-0.183388	-0.960754	0.044283	0.273843
25	5767892325.000000													9.474447	-0.046082	2.731284	0.277489	0.178108	0.944075	-0.007014	0.983015	-0.183393	-0.960703	0.044267	0.274025
26	5767942327.000000													9.480884	-0.056312	2.739630	0.277649	0.178140	0.944022	-0.007054	0.983009	-0.183422	-0.960657	0.044268	0.274188
27	5767992329.000000													9.484782	-0.067637	2.737960	0.277802	0.178244	0.943957	-0.007054	0.982987	-0.183538	-0.960612	0.044329	0.274333
