// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5766642270.000000													9.637446	0.786319	-1.472519	-0.151300	0.467570	-0.870912	0.080421	-0.872311	-0.482292	-0.985211	-0.143011	0.094378
1	5766692273.000000													9.641670	0.783942	-1.481182	-0.151303	0.467175	-0.871123	0.080471	-0.872522	-0.481902	-0.985206	-0.143014	0.094421
2	5766742275.000000													9.634554	0.795538	-1.480656	-0.151329	0.466877	-0.871278	0.080514	-0.872679	-0.481612	-0.985199	-0.143031	0.094471
3	5766792277.000000													9.657463	0.802173	-1.491027	-0.151455	0.466502	-0.871457	0.080717	-0.872846	-0.481274	-0.985163	-0.143232	0.094542
4	5766842279.000000													9.642011	0.826675	-1.507302	-0.151517	0.466365	-0.871519	0.080748	-0.872912	-0.481149	-0.985151	-0.143276	0.094603
5	5766892281.000000													9.632992	0.771636	-1.466979	-0.151510	0.466340	-0.871534	0.080832	-0.872914	-0.481131	-0.985145	-0.143344	0.094560
6	5766942283.000000													9.659508	0.791661	-1.503924	-0.151636	0.466397	-0.871482	0.081074	-0.872838	-0.481229	-0.985106	-0.143626	0.094541
7	5766992286.000000													9.635349	0.843256	-1.515526	-0.151736	0.466599	-0.871356	0.081229	-0.872695	-0.481461	-0.985078	-0.143834	0.094518
8	5767042288.000000													9.639703	0.831446	-1.511239	-0.151593	0.466740	-0.871305	0.081225	-0.872629	-0.481581	-0.985100	-0.143776	0.094374
9	5767092290.000000													9.658022	0.793319	-1.499565	-0.151492	0.466613	-0.871391	0.081255	-0.872703	-0.481442	-0.985113	-0.143740	0.094293
10	5767142292.000000													9.636494	0.833964	-1.472951	-0.151344	0.466402	-0.871530	0.081300	-0.872825	-0.481214	-0.985132	-0.143685	0.094178
11	5767192294.000000													9.646506	0.771972	-1.463920	-0.151234	0.466585	-0.871451	0.081337	-0.872728	-0.481384	-0.985146	-0.143683	0.094035
12	5767242297.000000													9.635217	0.799760	-1.480393	-0.151306	0.466420	-0.871527	0.081610	-0.872773	-0.481255	-0.985112	-0.143942	0.093991
13	5767292299.000000													9.641419	0.828249	-1.481359	-0.151320	0.466300	-0.871589	0.081884	-0.872798	-0.481163	-0.985087	-0.144179	0.093889
14	5767342301.000000													9.642398	0.833223	-1.491026	-0.151344	0.466177	-0.871650	0.082136	-0.872827	-0.481068	-0.985063	-0.144401	0.093807
15	5767392303.000000													9.640416	0.825463	-1.499079	-0.151330	0.465879	-0.871812	0.082316	-0.872966	-0.480784	-0.985050	-0.144521	0.093756
16	5767442305.000000													9.635705	0.825835	-1.488273	-0.151240	0.465665	-0.871942	0.082476	-0.873068	-0.480573	-0.985050	-0.144596	0.093637
17	5767492307.000000													9.658520	0.841121	-1.501628	-0.151170	0.465549	-0.872016	0.082522	-0.873131	-0.480450	-0.985057	-0.144590	0.093573
18	5767542310.000000													9.634398	0.829226	-1.468345	-0.151084	0.465461	-0.872078	0.082538	-0.873184	-0.480351	-0.985069	-0.144553	0.093506
19	5767592312.000000													9.640561	0.824820	-1.495796	-0.150923	0.465483	-0.872094	0.082518	-0.873188	-0.480347	-0.985096	-0.144458	0.093373
20	5767642314.000000													9.652722	0.804900	-1.462217	-0.150804	0.465360	-0.872180	0.082606	-0.873253	-0.480215	-0.985106	-0.144465	0.093249
21	5767692316.000000													9.637897	0.832422	-1.484848	-0.150826	0.465514	-0.872094	0.082696	-0.873153	-0.480381	-0.985095	-0.144573	0.093198
22	5767742318.000000													9.641964	0.833509	-1.489931	-0.150781	0.465633	-0.872038	0.082748	-0.873083	-0.480499	-0.985098	-0.144610	0.093114
23	5767792320.000000													9.639633	0.826217	-1.487859	-0.150721	0.465565	-0.872085	0.082806	-0.873117	-0.480427	-0.985102	-0.144624	0.093045
24	5767842323.000000													9.648250	0.813175	-1.475154	-0.150648	0.465732	-0.872008	0.082829	-0.873027	-0.480586	-0.985111	-0.144627	0.092944
25	5767892325.000000													9.648615	0.809365	-1.465269	-0.150629	0.465774	-0.871990	0.082914	-0.872994	-0.480632	-0.985107	-0.144697	0.092879
26	5767942327.000000													9.641708	0.825959	-1.470113	-0.150647	0.465757	-0.871995	0.083058	-0.872980	-0.480632	-0.985092	-0.144832	0.092827
27	5767992329.000000													9.638255	0.823282	-1.488704	-0.150563	0.465790	-0.871992	0.083227	-0.872944	-0.480669	-0.985091	-0.144944	0.092667
28	5768042331.000000													9.645417	0.829236	-1.467636	-0.150588	0.465741	-0.872014	0.083355	-0.872950	-0.480636	-0.985076	-0.145065	0.092634
29	5768092333.000000													9.649114	0.846582	-1.502821	-0.150594	0.465673	-0.872049	0.083497	-0.872966	-0.480582	-0.985063	-0.145186	0.092582
30	5768142336.000000													9.632941	0.835312	-1.484105	-0.150607	0.465479	-0.872151	0.083622	-0.873053	-0.480401	-0.985051	-0.145282	0.092564
31	5768192338.000000													9.657850	0.839177	-1.496236	-0.150600	0.465456	-0.872164	0.083740	-0.873049	-0.480388	-0.985042	-0.145382	0.092504
32	5768242340.000000													9.631924	0.835692	-1.484013	-0.150538	0.465329	-0.872243	0.083720	-0.873127	-0.480250	-0.985053	-0.145320	0.092482
33	5768292342.000000													9.640676	0.818503	-1.468909	-0.150467	0.465373	-0.872231	0.083704	-0.873111	-0.480282	-0.985065	-0.145275	0.092421
34	5768342344.000000													9.649072	0.828024	-1.474272	-0.150404	0.465381	-0.872238	0.083782	-0.873100	-0.480288	-0.985068	-0.145315	0.092327
35	5768392347.000000													9.624168	0.848810	-1.502150	-0.150405	0.465495	-0.872177	0.083941	-0.873014	-0.480417	-0.985054	-0.145468	0.092232
36	5768442349.000000													9.642305	0.842250	-1.481790	-0.150406	0.465357	-0.872250	0.084118	-0.873064	-0.480296	-0.985039	-0.145612	0.092169
37	5768492351.000000													9.642628	0.835604	-1.479912	-0.150431	0.465047	-0.872412	0.084330	-0.873201	-0.480009	-0.985017	-0.145779	0.092139
38	5768542353.000000													9.638480	0.848049	-1.496515	-0.150434	0.465083	-0.872392	0.084408	-0.873169	-0.480053	-0.985010	-0.145853	0.092097
39	5768592355.000000													9.643194	0.843083	-1.473350	-0.150444	0.465074	-0.872395	0.084415	-0.873172	-0.480046	-0.985008	-0.145863	0.092104
40	5768642357.000000													9.649789	0.838626	-1.479412	-0.150447	0.464996	-0.872436	0.084505	-0.873202	-0.479977	-0.985000	-0.145937	0.092076
41	5768692360.000000													9.632334	0.843078	-1.481645	-0.150480	0.465147	-0.872349	0.084568	-0.873106	-0.480139	-0.984989	-0.146025	0.092049
42	5768742362.000000													9.640184	0.863839	-1.488690	-0.150482	0.465353	-0.872240	0.084608	-0.872987	-0.480349	-0.984986	-0.146083	0.091996
43	5768792364.000000													9.639876	0.870220	-1.511203	-0.150375	0.465472	-0.872194	0.084464	-0.872951	-0.480439	-0.985014	-0.145915	0.091955
44	5768842366.000000													9.642376	0.819328	-1.463021	-0.150240	0.465210	-0.872357	0.084378	-0.873119	-0.480149	-0.985042	-0.145746	0.091924
45	5768892368.000000													9.642829	0.831503	-1.450621	-0.150147	0.465215	-0.872371	0.084400	-0.873121	-0.480142	-0.985055	-0.145720	0.091832
46	5768942370.000000													9.630795	0.878811	-1.501093	-0.150122	0.465059	-0.872459	0.084428	-0.873205	-0.479984	-0.985056	-0.145716	0.091823
47	5768992373.000000													9.636019	0.829027	-1.480566	-0.150020	0.464870	-0.872576	0.084321	-0.873333	-0.479770	-0.985081	-0.145552	0.091819
48	5769042375.000000													9.648706	0.806047	-1.460896	-0.149992	0.464676	-0.872685	0.084399	-0.873431	-0.479579	-0.985078	-0.145586	0.091789
49	5769092377.000000													9.637165	0.850384	-1.489316	-0.150025	0.464707	-0.872662	0.084553	-0.873388	-0.479630	-0.985060	-0.145743	0.091738
50	5769142379.000000													9.645420	0.865374	-1.490075	-0.150032	0.464818	-0.872602	0.084619	-0.873316	-0.479748	-0.985053	-0.145816	0.091692
51	5769192381.000000													9.642894	0.851188	-1.486802	-0.149970	0.464702	-0.872675	0.084648	-0.873381	-0.479625	-0.985060	-0.145800	0.091644
52	5769242383.000000													9.643881	0.846535	-1.485658	-0.149915	0.464799	-0.872632	0.084612	-0.873338	-0.479711	-0.985072	-0.145751	0.091598
