AvantiSensor1_ORIENT_W1,AvantiSensor1_ORIENT_X1,AvantiSensor1_ORIENT_Y1,AvantiSensor1_ORIENT_Z1,AvantiSensor2_ORIENT_W2,AvantiSensor2_ORIENT_X2,AvantiSensor2_ORIENT_Y2,AvantiSensor2_ORIENT_Z2
0.801469266,-0.07714197,-0.556158364,-0.205873847,0.565757155,0.012981983,-0.82438308,-0.011965229
0.801530063,-0.077007465,-0.556100547,-0.205844238,0.565598309,0.013094802,-0.824490905,-0.01190884
0.801528633,-0.076916307,-0.556118488,-0.205835208,0.565209091,0.013269469,-0.82475394,-0.011978987
0.801494122,-0.076869987,-0.55616647,-0.205857128,0.56511122,0.013600266,-0.82481575,-0.011974079
0.801444292,-0.076809064,-0.556230903,-0.205899775,0.565089881,0.014023356,-0.824824333,-0.011901175
0.801419377,-0.076706372,-0.556269407,-0.205930635,0.565209746,0.014312481,-0.824736238,-0.01196304
0.80146277,-0.076542206,-0.556239545,-0.205904037,0.565685749,0.014276726,-0.824408591,-0.012100197
0.801587045,-0.076416142,-0.556063294,-0.205942154,0.566111445,0.014263024,-0.824117303,-0.012047132
0.801676691,-0.076412044,-0.555917203,-0.205990091,0.56632483,0.014604524,-0.823968649,-0.011776575
0.801782787,-0.076434478,-0.55576086,-0.205990821,0.566452742,0.014687084,-0.823881269,-0.011625392
0.80189383,-0.076374032,-0.555649281,-0.20588167,0.566710055,0.014492223,-0.823707521,-0.011643269
0.801995933,-0.076397523,-0.555490196,-0.205904275,0.566932559,0.014251214,-0.823558807,-0.011633865
0.802057207,-0.076518014,-0.555353284,-0.205990285,0.566887677,0.014403059,-0.823590338,-0.01139599
0.802136242,-0.076586716,-0.555223525,-0.206006929,0.566856384,0.014732359,-0.823608041,-0.01124642
0.802205861,-0.076433204,-0.555189848,-0.205883384,0.567109466,0.014589017,-0.823437989,-0.011137997
0.802295625,-0.07642363,-0.555074275,-0.205849215,0.567164719,0.014531299,-0.823402226,-0.011042914
0.802239358,-0.076518327,-0.555132568,-0.205875769,0.566874325,0.014737911,-0.823598564,-0.01103387
0.802150667,-0.076585218,-0.555224895,-0.205947563,0.566717267,0.014787879,-0.823704183,-0.011148285
0.802136719,-0.076506861,-0.555268109,-0.20591481,0.566570818,0.014808144,-0.823805213,-0.011097915
0.802088678,-0.07641466,-0.555370152,-0.205860615,0.566392422,0.014956068,-0.823924482,-0.011153118
0.801969409,-0.0763923,-0.555519283,-0.20593141,0.566166282,0.014944479,-0.824078798,-0.011249649
0.801869154,-0.076334275,-0.555669785,-0.205937192,0.565987051,0.014926665,-0.824201167,-0.011335579
0.80177933,-0.076293871,-0.555785239,-0.205990046,0.566093147,0.014834255,-0.824128926,-0.011406656
0.801782131,-0.076275088,-0.555776179,-0.206010506,0.566417515,0.014845926,-0.823907793,-0.011264036
0.801784039,-0.076347329,-0.555740535,-0.206072479,0.56662488,0.01509472,-0.823765039,-0.010930115
0.801832855,-0.076356851,-0.555670083,-0.206069142,0.566713452,0.015216678,-0.823704898,-0.010717903
0.801920652,-0.076331183,-0.555574656,-0.205994636,0.566955388,0.015057125,-0.823541462,-0.010699801
0.801996529,-0.076371536,-0.55545646,-0.206002608,0.567111194,0.014971527,-0.823437989,-0.010515516
0.802014947,-0.076557018,-0.555372894,-0.20608747,0.56715256,0.015313165,-0.823406756,-0.010254825
0.802089095,-0.076645412,-0.555242002,-0.206118837,0.567471981,0.015515172,-0.823181689,-0.010331008
0.802161634,-0.076507747,-0.555167854,-0.206087545,0.568017185,0.015307098,-0.822807491,-0.010499187
