// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5841297549.000000													9.600009	1.070501	-1.714551	-0.158750	0.427953	-0.889750	0.095496	-0.890297	-0.445255	-0.982690	-0.155651	0.100467
1	5841347560.000000													9.614400	1.032759	-1.609833	-0.158702	0.428077	-0.889699	0.095304	-0.890269	-0.445352	-0.982716	-0.155470	0.100490
2	5841397572.000000													9.613690	0.942816	-1.562562	-0.158392	0.428045	-0.889770	0.094877	-0.890377	-0.445227	-0.982807	-0.154939	0.100417
3	5841447583.000000													9.615753	0.913970	-1.523098	-0.158174	0.428374	-0.889650	0.094562	-0.890279	-0.445490	-0.982873	-0.154592	0.100311
4	5841497595.000000													9.615367	0.940450	-1.526130	-0.158103	0.428557	-0.889574	0.094379	-0.890222	-0.445643	-0.982902	-0.154415	0.100300
5	5841547606.000000													9.594751	0.960309	-1.527720	-0.158170	0.428658	-0.889514	0.094215	-0.890192	-0.445738	-0.982907	-0.154308	0.100415
6	5841597618.000000													9.627102	0.935928	-1.549763	-0.158260	0.428635	-0.889509	0.094030	-0.890225	-0.445710	-0.982910	-0.154178	0.100583
7	5841647629.000000													9.614697	0.930121	-1.542061	-0.158373	0.428886	-0.889368	0.093806	-0.890126	-0.445956	-0.982913	-0.154056	0.100740
8	5841697641.000000													9.610658	0.928173	-1.534272	-0.158482	0.429058	-0.889265	0.093668	-0.890053	-0.446131	-0.982909	-0.153999	0.100868
9	5841747652.000000													9.635234	0.929244	-1.556150	-0.158536	0.429260	-0.889158	0.093511	-0.889971	-0.446326	-0.982915	-0.153905	0.100951
10	5841797663.000000													9.614793	0.961616	-1.572645	-0.158530	0.429466	-0.889060	0.093169	-0.889922	-0.446496	-0.982949	-0.153615	0.101066
11	5841847675.000000													9.621118	0.921835	-1.541925	-0.158529	0.429545	-0.889022	0.092730	-0.889951	-0.446529	-0.982990	-0.153227	0.101251
12	5841897686.000000													9.627741	0.895387	-1.542236	-0.158606	0.429728	-0.888920	0.092438	-0.889898	-0.446695	-0.983005	-0.153018	0.101420
13	5841947698.000000													9.616608	0.920167	-1.559288	-0.158654	0.430320	-0.888624	0.092163	-0.889640	-0.447266	-0.983023	-0.152859	0.101485
14	5841997709.000000													9.602137	0.970302	-1.592102	-0.158518	0.431201	-0.888222	0.091627	-0.889290	-0.448072	-0.983095	-0.152412	0.101459
15	5842047721.000000													9.625496	0.972292	-1.618280	-0.158088	0.432689	-0.887575	0.090484	-0.888748	-0.449377	-0.983271	-0.151352	0.101349
16	5842097732.000000													9.638192	0.953240	-1.599951	-0.157271	0.434655	-0.886759	0.088843	-0.888065	-0.451052	-0.983551	-0.149720	0.101051
17	5842147744.000000													9.631449	0.883058	-1.559891	-0.156321	0.436519	-0.886011	0.087018	-0.887464	-0.452587	-0.983866	-0.147848	0.100744
18	5842197755.000000													9.630902	0.861843	-1.545733	-0.155208	0.438074	-0.885439	0.085220	-0.887021	-0.453796	-0.984199	-0.145890	0.100340
19	5842247767.000000													9.629541	0.817901	-1.512030	-0.153937	0.439102	-0.885151	0.083587	-0.886831	-0.454472	-0.984539	-0.143947	0.099813
20	5842297778.000000													9.634267	0.830008	-1.511281	-0.152610	0.439781	-0.885044	0.082110	-0.886796	-0.454809	-0.984870	-0.142079	0.099224
21	5842347790.000000													9.630458	0.694497	-1.388847	-0.151596	0.440095	-0.885062	0.081181	-0.886842	-0.454885	-0.985103	-0.140809	0.098715
22	5842397801.000000													9.667147	0.763543	-1.464101	-0.151016	0.440577	-0.884922	0.080744	-0.886699	-0.455241	-0.985228	-0.140201	0.098332
23	5842447813.000000													9.639980	0.804092	-1.478501	-0.150419	0.440365	-0.885129	0.080532	-0.886882	-0.454923	-0.985337	-0.139710	0.097940
24	5842497824.000000													9.633526	0.802490	-1.491285	-0.149774	0.440012	-0.885413	0.080298	-0.887143	-0.454455	-0.985454	-0.139163	0.097539
25	5842547836.000000													9.655747	0.768118	-1.437878	-0.149137	0.439240	-0.885905	0.080320	-0.887582	-0.453593	-0.985549	-0.138803	0.097091
26	5842597847.000000													9.647692	0.762367	-1.449426	-0.148690	0.439001	-0.886098	0.080450	-0.887718	-0.453303	-0.985606	-0.138689	0.096677
27	5842647859.000000													9.655524	0.850621	-1.482676	-0.148120	0.438911	-0.886238	0.080442	-0.887806	-0.453132	-0.985692	-0.138409	0.096195
28	5842697870.000000													9.657906	0.838453	-1.450047	-0.147474	0.438787	-0.886407	0.079948	-0.887985	-0.452870	-0.985829	-0.137653	0.095875
29	5842747882.000000													9.648188	0.752825	-1.432087	-0.146792	0.438978	-0.886425	0.079350	-0.888019	-0.452908	-0.985979	-0.136821	0.095522
30	5842797893.000000													9.670493	0.793216	-1.448260	-0.146190	0.439237	-0.886397	0.079134	-0.887960	-0.453062	-0.986086	-0.136377	0.095052
31	5842847905.000000													9.649743	0.849641	-1.487156	-0.145484	0.439486	-0.886389	0.078916	-0.887912	-0.453194	-0.986208	-0.135883	0.094495
32	5842897916.000000													9.655013	0.824838	-1.423469	-0.144589	0.439343	-0.886607	0.078311	-0.888131	-0.452870	-0.986388	-0.134911	0.094009
33	5842947928.000000													9.662657	0.689238	-1.367124	-0.143923	0.439564	-0.886606	0.077999	-0.888107	-0.452970	-0.986510	-0.134347	0.093533
34	5842997939.000000													9.630900	0.780485	-1.425741	-0.143326	0.439645	-0.886662	0.077820	-0.888132	-0.452953	-0.986611	-0.133920	0.093079
35	5843047951.000000													9.663190	0.818438	-1.373812	-0.142738	0.440026	-0.886568	0.077373	-0.888038	-0.453213	-0.986732	-0.133288	0.092711
36	5843097962.000000													9.668571	0.772571	-1.445819	-0.142187	0.440561	-0.886391	0.076749	-0.887886	-0.453616	-0.986860	-0.132528	0.092434
37	5843147974.000000													9.645015	0.782568	-1.417686	-0.141499	0.440891	-0.886337	0.076003	-0.887865	-0.453784	-0.987016	-0.131575	0.092123
38	5843197985.000000													9.676767	0.727506	-1.324440	-0.140804	0.441003	-0.886392	0.075289	-0.887949	-0.453737	-0.987171	-0.130623	0.091824
39	5843247997.000000													9.675188	0.647268	-1.268606	-0.140542	0.441555	-0.886158	0.075023	-0.887719	-0.454231	-0.987228	-0.130321	0.091635
40	5843298008.000000													9.652270	0.707546	-1.293400	-0.140853	0.441514	-0.886130	0.075263	-0.887687	-0.454254	-0.987165	-0.130676	0.091804
41	5843348020.000000													9.654016	0.844470	-1.436276	-0.141268	0.441384	-0.886129	0.075503	-0.887694	-0.454200	-0.987088	-0.131069	0.092077
42	5843398031.000000													9.682631	0.859261	-1.488502	-0.141084	0.441524	-0.886088	0.074909	-0.887713	-0.454262	-0.987159	-0.130465	0.092168
43	5843448043.000000													9.669165	0.671621	-1.316883	-0.140843	0.441764	-0.886007	0.074164	-0.887705	-0.454400	-0.987250	-0.129708	0.092264
44	5843498054.000000													9.683686	0.663702	-1.308041	-0.141098	0.442228	-0.885734	0.073896	-0.887485	-0.454874	-0.987234	-0.129634	0.092544
45	5843548066.000000													9.667849	0.767164	-1.398162	-0.141557	0.442494	-0.885529	0.073676	-0.887346	-0.455179	-0.987185	-0.129677	0.093009
46	5843598077.000000													9.659565	0.757564	-1.409939	-0.141958	0.442525	-0.885449	0.073285	-0.887354	-0.455227	-0.987156	-0.129513	0.093537
47	5843648088.000000													9.668089	0.706192	-1.365849	-0.142317	0.442428	-0.885440	0.072889	-0.887432	-0.455139	-0.987134	-0.129312	0.094048
48	5843698100.000000													9.692614	0.688348	-1.371619	-0.142919	0.443029	-0.885042	0.072436	-0.887141	-0.455777	-0.987080	-0.129248	0.094698
49	5843748111.000000													9.663911	0.773407	-1.440092	-0.143468	0.443882	-0.884526	0.071746	-0.886755	-0.456638	-0.987051	-0.128974	0.095374
50	5843798123.000000													9.669680	0.717243	-1.393946	-0.143942	0.444285	-0.884247	0.071004	-0.886612	-0.457031	-0.987036	-0.128571	0.096075
51	5843848134.000000													9.634316	0.679608	-1.378834	-0.144647	0.444621	-0.883963	0.070377	-0.886472	-0.457399	-0.986977	-0.128372	0.096934
52	5843898146.000000													9.666357	0.606986	-1.351514	-0.145697	0.444424	-0.883889	0.070322	-0.886510	-0.457334	-0.986827	-0.128789	0.097909
53	5843948157.000000													9.662317	0.694827	-1.447854	-0.146885	0.444317	-0.883746	0.070531	-0.886458	-0.457403	-0.986636	-0.129517	0.098869
54	5843998169.000000													9.637818	0.731563	-1.488448	-0.148033	0.443790	-0.883819	0.070817	-0.886615	-0.457055	-0.986444	-0.130249	0.099820
55	5844048180.000000													9.657124	0.733844	-1.519564	-0.148850	0.443750	-0.883702	0.070771	-0.886585	-0.457119	-0.986324	-0.130583	0.100563
56	5844098192.000000													9.651188	0.641672	-1.436318	-0.149480	0.443395	-0.883774	0.071016	-0.886693	-0.456872	-0.986211	-0.131055	0.101054
57	5844148203.000000													9.679993	0.685907	-1.471708	-0.150310	0.443379	-0.883641	0.071278	-0.886610	-0.456993	-0.986066	-0.131675	0.101663
58	5844198215.000000													9.645707	0.717390	-1.480659	-0.151009	0.443237	-0.883593	0.071507	-0.886604	-0.456968	-0.985943	-0.132190	0.102191
59	5844248226.000000													9.651125	0.720235	-1.523922	-0.151542	0.443083	-0.883580	0.071642	-0.886629	-0.456899	-0.985851	-0.132541	0.102618
60	5844298238.000000													9.642304	0.707342	-1.497652	-0.151922	0.442995	-0.883558	0.071692	-0.886641	-0.456868	-0.985789	-0.132752	0.102941
61	5844348249.000000													9.661151	0.670666	-1.495607	-0.152406	0.443284	-0.883330	0.071781	-0.886446	-0.457232	-0.985708	-0.133091	0.103281
62	5844398261.000000													9.639771	0.739362	-1.504608	-0.152792	0.443232	-0.883289	0.071909	-0.886428	-0.457246	-0.985639	-0.133380	0.103566
63	5844448272.000000													9.640618	0.710590	-1.514978	-0.153076	0.443105	-0.883304	0.072080	-0.886451	-0.457175	-0.985582	-0.133651	0.103756
64	5844498284.000000													9.644480	0.723633	-1.521797	-0.153271	0.443007	-0.883319	0.072104	-0.886485	-0.457106	-0.985550	-0.133752	0.103930
65	5844548295.000000													9.658082	0.732498	-1.522335	-0.153319	0.443071	-0.883279	0.072034	-0.886458	-0.457169	-0.985548	-0.133719	0.103994
66	5844598307.000000													9.640205	0.703159	-1.497824	-0.153337	0.442984	-0.883320	0.071956	-0.886512	-0.457076	-0.985551	-0.133647	0.104060
67	5844648318.000000													9.663487	0.731685	-1.519547	-0.153392	0.443134	-0.883234	0.071781	-0.886454	-0.457216	-0.985555	-0.133533	0.104167
68	5844698330.000000													9.636761	0.728016	-1.530887	-0.153265	0.443485	-0.883080	0.071459	-0.886325	-0.457517	-0.985598	-0.133225	0.104152
69	5844748341.000000													9.644510	0.706024	-1.496977	-0.153020	0.444019	-0.882854	0.071067	-0.886118	-0.457978	-0.985664	-0.132821	0.104039
70	5844798353.000000													9.642877	0.690424	-1.494887	-0.152883	0.444107	-0.882834	0.070804	-0.886118	-0.458020	-0.985705	-0.132531	0.104028
71	5844848364.000000													9.648868	0.665352	-1.459568	-0.152835	0.444005	-0.882894	0.070781	-0.886177	-0.457908	-0.985714	-0.132477	0.104012
72	5844898376.000000													9.653111	0.687608	-1.510342	-0.152893	0.443997	-0.882888	0.070866	-0.886166	-0.457917	-0.985699	-0.132579	0.104025
73	5844948387.000000													9.647533	0.706006	-1.493240	-0.152918	0.444028	-0.882868	0.071050	-0.886123	-0.457971	-0.985682	-0.132760	0.103956
74	5844998399.000000													9.648196	0.721392	-1.517587	-0.152896	0.444105	-0.882833	0.071159	-0.886070	-0.458057	-0.985677	-0.132857	0.103874
75	5845048410.000000													9.663590	0.687916	-1.478234	-0.152833	0.443952	-0.882920	0.071321	-0.886132	-0.457913	-0.985675	-0.132955	0.103767
76	5845098422.000000													9.643763	0.691009	-1.491715	-0.152804	0.443706	-0.883049	0.071583	-0.886226	-0.457689	-0.985661	-0.133148	0.103657
77	5845148433.000000													9.660076	0.719880	-1.524681	-0.152802	0.443473	-0.883167	0.071838	-0.886312	-0.457482	-0.985642	-0.133349	0.103572
78	5845198445.000000													9.651670	0.727056	-1.502314	-0.152720	0.443243	-0.883296	0.072021	-0.886412	-0.457260	-0.985642	-0.133449	0.103450
