// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5841297549.000000													9.383329	-1.856863	-2.207773	-0.222566	-0.560665	-0.797571	-0.189854	-0.777503	0.599537	-0.956253	0.284858	0.066602
1	5841347560.000000													9.394264	-1.867024	-2.186891	-0.222272	-0.561144	-0.797316	-0.189622	-0.777277	0.599903	-0.956368	0.284530	0.066362
2	5841397572.000000													9.368662	-1.860084	-2.188144	-0.221962	-0.561213	-0.797354	-0.189485	-0.777335	0.599871	-0.956467	0.284235	0.066197
3	5841447583.000000													9.390441	-1.855465	-2.200392	-0.221598	-0.561096	-0.797537	-0.189400	-0.777530	0.599646	-0.956568	0.283934	0.066027
4	5841497595.000000													9.406174	-1.837677	-2.165752	-0.221331	-0.561308	-0.797462	-0.189387	-0.777434	0.599774	-0.956632	0.283777	0.065766
5	5841547606.000000													9.387530	-1.856625	-2.195086	-0.221099	-0.561399	-0.797462	-0.189504	-0.777382	0.599804	-0.956663	0.283739	0.065491
6	5841597618.000000													9.390129	-1.860123	-2.179626	-0.220860	-0.561173	-0.797688	-0.189757	-0.777531	0.599532	-0.956668	0.283780	0.065239
7	5841647629.000000													9.379886	-1.852060	-2.129280	-0.220725	-0.560961	-0.797875	-0.190096	-0.777620	0.599308	-0.956632	0.283955	0.065004
8	5841697641.000000													9.390946	-1.865128	-2.176285	-0.220693	-0.560854	-0.797958	-0.190457	-0.777600	0.599220	-0.956567	0.284220	0.064793
9	5841747652.000000													9.407574	-1.896925	-2.209844	-0.220487	-0.560783	-0.798065	-0.190759	-0.777610	0.599111	-0.956554	0.284335	0.064479
10	5841797663.000000													9.371623	-1.919903	-2.201227	-0.220087	-0.560878	-0.798109	-0.190719	-0.777639	0.599085	-0.956655	0.284065	0.064179
11	5841847675.000000													9.405553	-1.876842	-2.173886	-0.219565	-0.561096	-0.798100	-0.190587	-0.777631	0.599138	-0.956801	0.283657	0.063803
12	5841897686.000000													9.398933	-1.847719	-2.129840	-0.219084	-0.561146	-0.798197	-0.190485	-0.777731	0.599041	-0.956931	0.283285	0.063498
13	5841947698.000000													9.391622	-1.882125	-2.184832	-0.218725	-0.561337	-0.798161	-0.190428	-0.777684	0.599120	-0.957025	0.283035	0.063204
14	5841997709.000000													9.373762	-1.912879	-2.186945	-0.218189	-0.561532	-0.798170	-0.190236	-0.777713	0.599143	-0.957185	0.282567	0.062865
15	5842047721.000000													9.406060	-1.910432	-2.202499	-0.217424	-0.561875	-0.798137	-0.189765	-0.777763	0.599227	-0.957453	0.281745	0.062480
16	5842097732.000000													9.398335	-1.914356	-2.183188	-0.216372	-0.562315	-0.798113	-0.188985	-0.777894	0.599304	-0.957845	0.280504	0.062045
17	5842147744.000000													9.396572	-1.936718	-2.207125	-0.214933	-0.563158	-0.797908	-0.187701	-0.777951	0.599634	-0.958422	0.278649	0.061502
18	5842197755.000000													9.382758	-1.919981	-2.185405	-0.213032	-0.564114	-0.797742	-0.185898	-0.778167	0.599915	-0.959197	0.276099	0.060907
19	5842247767.000000													9.417306	-1.830028	-2.112880	-0.210918	-0.565063	-0.797632	-0.183765	-0.778519	0.600116	-0.960075	0.273152	0.060365
20	5842297778.000000													9.395634	-1.686706	-1.944034	-0.209098	-0.565893	-0.797523	-0.182099	-0.778754	0.600318	-0.960790	0.270754	0.059787
21	5842347790.000000													9.462468	-1.641923	-1.891550	-0.208149	-0.566164	-0.797579	-0.181288	-0.778978	0.600273	-0.961150	0.269537	0.059505
22	5842397801.000000													9.442202	-1.753683	-2.011376	-0.207767	-0.566202	-0.797652	-0.181071	-0.779091	0.600191	-0.961273	0.269132	0.059347
23	5842447813.000000													9.442215	-1.781160	-2.034813	-0.207581	-0.566431	-0.797537	-0.180833	-0.779025	0.600350	-0.961358	0.268842	0.059282
24	5842497824.000000													9.394159	-1.770966	-2.056248	-0.207219	-0.566917	-0.797286	-0.180402	-0.778855	0.600699	-0.961517	0.268308	0.059121
25	5842547836.000000													9.485897	-1.667546	-1.909843	-0.207298	-0.567271	-0.797014	-0.180463	-0.778555	0.601070	-0.961489	0.268432	0.059022
26	5842597847.000000													9.429316	-1.732861	-1.971380	-0.207982	-0.567082	-0.796970	-0.181133	-0.778366	0.601114	-0.961215	0.269379	0.059169
27	5842647859.000000													9.425275	-1.835561	-2.102152	-0.208784	-0.566914	-0.796880	-0.181688	-0.778166	0.601204	-0.960936	0.270306	0.059467
28	5842697870.000000													9.417293	-1.884510	-2.120232	-0.209165	-0.566504	-0.797071	-0.181937	-0.778325	0.600924	-0.960806	0.270710	0.059730
29	5842747882.000000													9.432185	-1.876112	-2.169924	-0.209237	-0.566445	-0.797095	-0.181291	-0.778536	0.600845	-0.960913	0.270225	0.060207
30	5842797893.000000													9.389713	-1.971592	-2.134299	-0.209177	-0.566531	-0.797049	-0.180228	-0.778782	0.600846	-0.961126	0.269334	0.060799
31	5842847905.000000													9.321189	-1.884620	-2.324397	-0.208271	-0.567604	-0.796523	-0.178198	-0.778730	0.601519	-0.961701	0.267218	0.061041
32	5842897916.000000													9.490530	-1.955383	-2.208628	-0.205485	-0.568986	-0.796261	-0.174810	-0.779199	0.601906	-0.962921	0.262877	0.060649
33	5842947928.000000													9.506829	-1.410729	-1.767443	-0.203090	-0.569703	-0.796363	-0.171846	-0.779950	0.601786	-0.963962	0.259069	0.060499
34	5842997939.000000													9.495865	-1.396155	-1.716345	-0.202493	-0.570012	-0.796293	-0.171010	-0.780061	0.601880	-0.964237	0.258051	0.060479
35	5843047951.000000													9.460850	-1.664718	-2.005244	-0.202606	-0.569752	-0.796451	-0.171106	-0.780210	0.601661	-0.964196	0.258177	0.060587
36	5843097962.000000													9.469174	-1.712313	-2.019271	-0.202659	-0.569997	-0.796262	-0.171099	-0.780015	0.601914	-0.964186	0.258223	0.060551
37	5843147974.000000													9.449780	-1.710171	-2.081524	-0.202499	-0.569863	-0.796399	-0.170959	-0.780187	0.601732	-0.964244	0.258002	0.060563
38	5843197985.000000													9.446202	-1.731174	-2.033231	-0.201979	-0.569991	-0.796438	-0.170361	-0.780354	0.601684	-0.964459	0.257210	0.060511
39	5843247997.000000													9.483246	-1.670928	-2.034922	-0.201200	-0.570579	-0.796215	-0.169600	-0.780269	0.602010	-0.964756	0.256162	0.060220
40	5843298008.000000													9.473201	-1.630500	-1.964358	-0.200286	-0.571182	-0.796013	-0.168843	-0.780197	0.602316	-0.965079	0.255036	0.059822
41	5843348020.000000													9.481265	-1.560859	-1.918933	-0.199645	-0.571143	-0.796202	-0.168628	-0.780411	0.602099	-0.965249	0.254468	0.059495
