// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5766642270.000000													9.452365	-1.837380	-1.961162	-0.200468	-0.509181	-0.836987	-0.188491	-0.818323	0.542972	-0.961397	0.266613	0.068072
1	5766692273.000000													9.431063	-1.820004	-1.936658	-0.200510	-0.509179	-0.836978	-0.188538	-0.818304	0.542985	-0.961379	0.266676	0.068079
2	5766742275.000000													9.449083	-1.817821	-1.942145	-0.200670	-0.509274	-0.836882	-0.188706	-0.818167	0.543133	-0.961312	0.266915	0.068079
3	5766792277.000000													9.456738	-1.860506	-1.990047	-0.200817	-0.509445	-0.836743	-0.188819	-0.817998	0.543348	-0.961260	0.267106	0.068075
4	5766842279.000000													9.445087	-1.850156	-1.949402	-0.200866	-0.509515	-0.836688	-0.188836	-0.817938	0.543431	-0.961246	0.267154	0.068081
5	5766892281.000000													9.440093	-1.829234	-1.937310	-0.200966	-0.509545	-0.836646	-0.188791	-0.817913	0.543485	-0.961234	0.267173	0.068176
6	5766942283.000000													9.464280	-1.822192	-1.954901	-0.201109	-0.509548	-0.836609	-0.188844	-0.817871	0.543531	-0.961194	0.267298	0.068256
7	5766992286.000000													9.433390	-1.847246	-1.977226	-0.201266	-0.509809	-0.836413	-0.188916	-0.817653	0.543834	-0.961147	0.267467	0.068254
8	5767042288.000000													9.436500	-1.851285	-1.997636	-0.201322	-0.509894	-0.836348	-0.188839	-0.817609	0.543926	-0.961150	0.267440	0.068314
9	5767092290.000000													9.453376	-1.808748	-1.958879	-0.201368	-0.510006	-0.836269	-0.188767	-0.817548	0.544042	-0.961155	0.267412	0.068356
10	5767142292.000000													9.441222	-1.835034	-1.961254	-0.201539	-0.510233	-0.836089	-0.188758	-0.817372	0.544311	-0.961120	0.267518	0.068422
11	5767192294.000000													9.446084	-1.826058	-1.977411	-0.201794	-0.509908	-0.836225	-0.188795	-0.817527	0.544065	-0.961060	0.267664	0.068704
12	5767242297.000000													9.445986	-1.839154	-1.955624	-0.202145	-0.509415	-0.836441	-0.188945	-0.817742	0.543690	-0.960957	0.267945	0.069051
13	5767292299.000000													9.434547	-1.836390	-1.996563	-0.202379	-0.509259	-0.836479	-0.189067	-0.817767	0.543610	-0.960883	0.268166	0.069215
14	5767342301.000000													9.438379	-1.853032	-1.992050	-0.202623	-0.509196	-0.836459	-0.189106	-0.817752	0.543617	-0.960824	0.268329	0.069403
15	5767392303.000000													9.436246	-1.858634	-1.996094	-0.202681	-0.509407	-0.836316	-0.189026	-0.817627	0.543834	-0.960828	0.268310	0.069426
16	5767442305.000000													9.427969	-1.838428	-1.988030	-0.202685	-0.509524	-0.836244	-0.188844	-0.817601	0.543936	-0.960862	0.268168	0.069494
17	5767492307.000000													9.458751	-1.814279	-1.994705	-0.202699	-0.509875	-0.836027	-0.188686	-0.817414	0.544271	-0.960891	0.268070	0.069483
18	5767542310.000000													9.433362	-1.851158	-1.984524	-0.202735	-0.510102	-0.835880	-0.188520	-0.817307	0.544491	-0.960916	0.267967	0.069532
19	5767592312.000000													9.437756	-1.804955	-1.973780	-0.202939	-0.509816	-0.836004	-0.188500	-0.817461	0.544266	-0.960876	0.268040	0.069794
20	5767642314.000000													9.455081	-1.820754	-1.982941	-0.203169	-0.509583	-0.836091	-0.188590	-0.817546	0.544107	-0.960810	0.268224	0.069997
21	5767692316.000000													9.424711	-1.841174	-2.010060	-0.203339	-0.509360	-0.836186	-0.188615	-0.817653	0.543937	-0.960769	0.268320	0.070188
22	5767742318.000000													9.427528	-1.830864	-1.986560	-0.203601	-0.508908	-0.836397	-0.188674	-0.817883	0.543571	-0.960702	0.268478	0.070504
23	5767792320.000000													9.434462	-1.838020	-1.984724	-0.203761	-0.508692	-0.836489	-0.188807	-0.817957	0.543413	-0.960642	0.268661	0.070623
24	5767842323.000000													9.442352	-1.842239	-2.018712	-0.203896	-0.508370	-0.836652	-0.188825	-0.818136	0.543137	-0.960610	0.268725	0.070822
25	5767892325.000000													9.429258	-1.820879	-1.974864	-0.204037	-0.508399	-0.836600	-0.188812	-0.818096	0.543203	-0.960583	0.268793	0.070930
26	5767942327.000000													9.433125	-1.842090	-2.011240	-0.204147	-0.508523	-0.836498	-0.188820	-0.817993	0.543355	-0.960558	0.268872	0.070971
27	5767992329.000000													9.432294	-1.829226	-1.992817	-0.204323	-0.508188	-0.836658	-0.188832	-0.818175	0.543077	-0.960518	0.268951	0.071210
