// Start Time: Unknown
// Update Rate: 20.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled
// Firmware Version: 4.0.2
0	sampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
0	5766642270.000000													9.864729	-0.536225	-0.243729	-0.023317	0.999525	0.020156	-0.057777	0.018781	-0.998153	-0.998057	-0.024439	0.057312
1	5766692273.000000													9.856060	-0.498275	-0.246102	-0.023324	0.999524	0.020186	-0.057871	0.018807	-0.998147	-0.998052	-0.024448	0.057405
2	5766742275.000000													9.868164	-0.547373	-0.227468	-0.023177	0.999532	0.019961	-0.057929	0.018590	-0.998148	-0.998052	-0.024290	0.057471
3	5766792277.000000													9.876130	-0.575560	-0.245424	-0.023280	0.999526	0.020131	-0.057968	0.018753	-0.998142	-0.998047	-0.024403	0.057504
4	5766842279.000000													9.880459	-0.533926	-0.221014	-0.022919	0.999526	0.020542	-0.058205	0.019179	-0.998120	-0.998042	-0.024072	0.057738
5	5766892281.000000													9.853108	-0.503817	-0.213731	-0.022929	0.999530	0.020338	-0.058530	0.018966	-0.998105	-0.998022	-0.024076	0.058068
6	5766942283.000000													9.873485	-0.551702	-0.268375	-0.022845	0.999536	0.020129	-0.058498	0.018764	-0.998111	-0.998026	-0.023979	0.058042
7	5766992286.000000													9.873842	-0.612911	-0.219290	-0.022557	0.999525	0.020976	-0.058604	0.019624	-0.998088	-0.998026	-0.023743	0.058133
8	5767042288.000000													9.875066	-0.542544	-0.197185	-0.022444	0.999538	0.020478	-0.058892	0.019126	-0.998081	-0.998012	-0.023607	0.058435
9	5767092290.000000													9.865233	-0.578081	-0.264316	-0.022316	0.999550	0.020045	-0.059233	0.018692	-0.998069	-0.997995	-0.023460	0.058789
10	5767142292.000000													9.867374	-0.560745	-0.190236	-0.021945	0.999553	0.020311	-0.059660	0.018971	-0.998038	-0.997978	-0.023113	0.059217
11	5767192294.000000													9.863200	-0.550035	-0.237675	-0.021839	0.999555	0.020330	-0.060008	0.018988	-0.998017	-0.997959	-0.023016	0.059567
12	5767242297.000000													9.846604	-0.522802	-0.217138	-0.021922	0.999563	0.019813	-0.060119	0.018464	-0.998020	-0.997950	-0.023070	0.059688
13	5767292299.000000													9.871634	-0.616209	-0.224298	-0.021849	0.999566	0.019735	-0.060252	0.018387	-0.998014	-0.997944	-0.022995	0.059824
