// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16442	0.045271	0.090235	-9.882175	0.000455	0.000901	-0.098822	1.000000	-0.000012	-0.000026	0.000008	0.005471	0.835142	-0.549999	-0.003037	179.284967	-0.054197	-66.734962	0.394985	-0.918687	0.000946	-0.918621	-0.394943	0.012479	-0.011091	-0.005798	-0.999922
16443	0.054411	0.099677	-9.914014	0.000548	0.000995	-0.099140	1.000000	-0.000018	-0.000035	0.000016	0.005472	0.835138	-0.550004	-0.003057	179.283706	-0.052325	-66.735776	0.394972	-0.918693	0.000913	-0.918626	-0.394931	0.012501	-0.011124	-0.005777	-0.999921
16444	0.030147	0.143030	-9.890141	0.000305	0.001429	-0.098901	1.000000	-0.000012	-0.000033	0.000007	0.005468	0.835137	-0.550006	-0.003072	179.283040	-0.050639	-66.736008	0.394968	-0.918694	0.000884	-0.918627	-0.394927	0.012513	-0.011147	-0.005754	-0.999921
16445	0.029424	0.143031	-9.890143	0.000298	0.001432	-0.098901	1.000000	0.000012	-0.000040	0.000008	0.005441	0.835138	-0.550005	-0.003080	179.285214	-0.048160	-66.735888	0.394970	-0.918694	0.000841	-0.918627	-0.394930	0.012475	-0.011129	-0.005699	-0.999922
16446	0.027531	0.166725	-9.883719	0.000279	0.001664	-0.098837	1.000000	-0.000029	-0.000042	0.000002	0.005447	0.835138	-0.550004	-0.003111	179.282665	-0.045598	-66.735830	0.394971	-0.918693	0.000796	-0.918625	-0.394931	0.012520	-0.011187	-0.005676	-0.999921
16447	-0.056304	0.259599	-9.957455	-0.000560	0.002593	-0.099575	1.000000	-0.000029	-0.000034	0.000003	0.005457	0.835141	-0.549999	-0.003136	179.280113	-0.043825	-66.735163	0.394982	-0.918689	0.000765	-0.918620	-0.394942	0.012564	-0.011240	-0.005665	-0.999921
16448	-0.093729	0.175925	-9.842935	-0.000934	0.001762	-0.098429	1.000000	0.000033	-0.000037	-0.000005	0.005414	0.835146	-0.549992	-0.003129	179.284687	-0.041761	-66.734174	0.394998	-0.918682	0.000729	-0.918614	-0.394958	0.012484	-0.011181	-0.005601	-0.999922
16449	-0.058835	0.094318	-9.911516	-0.000586	0.000946	-0.099115	1.000000	0.000032	-0.000022	-0.000003	0.005379	0.835153	-0.549982	-0.003110	179.289163	-0.041373	-66.732808	0.395019	-0.918672	0.000722	-0.918606	-0.394981	0.012406	-0.011112	-0.005564	-0.999923
16450	-0.066667	0.037722	-9.892521	-0.000666	0.000378	-0.098925	1.000000	0.000008	-0.000007	-0.000003	0.005374	0.835158	-0.549975	-0.003094	179.290737	-0.042616	-66.731780	0.395036	-0.918665	0.000744	-0.918599	-0.394997	0.012379	-0.011078	-0.005573	-0.999923
16451	0.001464	-0.011621	-9.885819	0.000016	-0.000117	-0.098858	1.000000	-0.000007	-0.000016	-0.000000	0.005375	0.835163	-0.549967	-0.003092	179.290706	-0.042848	-66.730711	0.395053	-0.918658	0.000748	-0.918592	-0.395014	0.012379	-0.011077	-0.005577	-0.999923
16452	0.020425	0.039689	-9.884007	0.000205	0.000395	-0.098840	1.000000	-0.000018	-0.000011	0.000019	0.005390	0.835153	-0.549982	-0.003092	179.289282	-0.043776	-66.732806	0.395019	-0.918672	0.000764	-0.918606	-0.394980	0.012404	-0.011093	-0.005602	-0.999923
16453	0.037394	0.105674	-9.934841	0.000376	0.001052	-0.099348	1.000000	-0.000046	-0.000019	0.000001	0.005423	0.835157	-0.549976	-0.003114	179.284763	-0.043734	-66.731927	0.395034	-0.918666	0.000763	-0.918599	-0.394994	0.012483	-0.011166	-0.005632	-0.999922
16454	0.023056	0.191411	-9.877280	0.000232	0.001911	-0.098773	1.000000	-0.000032	-0.000010	-0.000001	0.005449	0.835158	-0.549974	-0.003119	179.281885	-0.044882	-66.731717	0.395037	-0.918665	0.000783	-0.918597	-0.394997	0.012533	-0.011204	-0.005671	-0.999921
16455	0.066696	0.176084	-9.905779	0.000669	0.001762	-0.099058	1.000000	0.000012	-0.000017	0.000011	0.005435	0.835157	-0.549976	-0.003108	179.283998	-0.045088	-66.731923	0.395034	-0.918666	0.000787	-0.918599	-0.394994	0.012496	-0.011169	-0.005659	-0.999922
16456	0.047063	0.124813	-9.907603	0.000473	0.001249	-0.099076	1.000000	0.000010	-0.000024	0.000002	0.005418	0.835158	-0.549974	-0.003103	179.285843	-0.044494	-66.731646	0.395038	-0.918664	0.000777	-0.918597	-0.394999	0.012464	-0.011144	-0.005637	-0.999922
