// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4D204
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U
32691		8.077283	-0.059543	5.292634	0.752891	0.243686	-0.407771	0.455516	-0.475753	-56.722230	62.606645	0.252454	0.487172	0.836020	-0.884644	0.466244	-0.004556	-0.392009	-0.738430	0.548680						
32692		8.053229	-0.068395	5.269557	0.752904	0.243692	-0.407774	0.455489	-0.471876	-56.722957	62.600628	0.252501	0.487136	0.836027	-0.884622	0.466287	-0.004519	-0.392030	-0.738427	0.548669						
32693		8.077431	-0.058907	5.292415	0.752921	0.243708	-0.407751	0.455472	-0.464952	-56.721477	62.593848	0.252568	0.487126	0.836013	-0.884614	0.466303	-0.004453	-0.392004	-0.738424	0.548691						
32694		8.064324	-0.043046	5.248176	0.752936	0.243700	-0.407725	0.455475	-0.463187	-56.718115	62.592120	0.252606	0.487162	0.835981	-0.884612	0.466306	-0.004436	-0.391984	-0.738398	0.548741						
32695		8.028290	-0.043622	5.312394	0.752968	0.243686	-0.407701	0.455452	-0.459349	-56.714473	62.585348	0.252688	0.487179	0.835946	-0.884583	0.466361	-0.004400	-0.391996	-0.738352	0.548794						
32696		8.061397	-0.042413	5.303213	0.752977	0.243688	-0.407691	0.455444	-0.457031	-56.713529	62.582543	0.252718	0.487179	0.835937	-0.884577	0.466375	-0.004378	-0.391993	-0.738344	0.548808						
32697		8.037312	-0.051242	5.280187	0.753004	0.243689	-0.407688	0.455403	-0.451679	-56.713226	62.573295	0.252798	0.487142	0.835934	-0.884538	0.466448	-0.004327	-0.392028	-0.738322	0.548813						
32698		8.077035	-0.057533	5.293034	0.753043	0.243685	-0.407674	0.455353	-0.444883	-56.711423	62.561524	0.252911	0.487113	0.835917	-0.884489	0.466542	-0.004262	-0.392067	-0.738281	0.548840						
32699		8.059495	-0.074101	5.292145	0.753040	0.243697	-0.407679	0.455346	-0.442988	-56.712885	62.559894	0.252915	0.487087	0.835931	-0.884488	0.466543	-0.004243	-0.392065	-0.738298	0.548818						
32700		8.077429	-0.057202	5.292437	0.753018	0.243723	-0.407689	0.455360	-0.442205	-56.715707	62.562450	0.252874	0.487062	0.835958	-0.884514	0.466494	-0.004236	-0.392032	-0.738346	0.548777						
32701		8.071297	-0.049222	5.269670	0.752993	0.243774	-0.407684	0.455379	-0.436592	-56.718536	62.563258	0.252848	0.487029	0.835985	-0.884559	0.466409	-0.004181	-0.391948	-0.738421	0.548736						
32702		8.078124	-0.056658	5.291382	0.752966	0.243816	-0.407676	0.455407	-0.432951	-56.720575	62.566248	0.252809	0.487016	0.836004	-0.884608	0.466316	-0.004146	-0.391862	-0.738488	0.548707						
32703		8.029685	-0.041525	5.310302	0.752936	0.243870	-0.407676	0.455428	-0.427970	-56.724136	62.567989	0.252770	0.486977	0.836039	-0.884656	0.466225	-0.004098	-0.391778	-0.738571	0.548655						
32704		8.061168	-0.072824	5.289615	0.752924	0.243906	-0.407663	0.455440	-0.422499	-56.725091	62.567141	0.252771	0.486961	0.836048	-0.884687	0.466168	-0.004046	-0.391709	-0.738618	0.548642						
32705		8.054824	-0.064738	5.267164	0.752900	0.243945	-0.407641	0.455480	-0.419033	-56.725313	62.571362	0.252734	0.486977	0.836050	-0.884745	0.466058	-0.004013	-0.391602	-0.738677	0.548639						
32706		8.063283	-0.039577	5.300368	0.752909	0.243946	-0.407600	0.455500	-0.416177	-56.720831	62.571465	0.252763	0.487035	0.836007	-0.884765	0.466020	-0.003986	-0.391537	-0.738663	0.548704						
32707		8.040889	-0.015701	5.288730	0.752932	0.243942	-0.407563	0.455497	-0.411713	-56.716394	62.567143	0.252829	0.487074	0.835964	-0.884761	0.466028	-0.003943	-0.391504	-0.738632	0.548769						
32708		8.022986	-0.032397	5.288400	0.752961	0.243920	-0.407544	0.455478	-0.410346	-56.712793	62.562294	0.252895	0.487099	0.835930	-0.884731	0.466085	-0.003931	-0.391529	-0.738579	0.548822						
32709		8.051372	-0.063668	5.323027	0.752988	0.243908	-0.407525	0.455458	-0.407147	-56.709881	62.556463	0.252964	0.487111	0.835902	-0.884705	0.466134	-0.003900	-0.391542	-0.738540	0.548865						
32710		8.033610	-0.080310	5.322483	0.753015	0.243900	-0.407510	0.455430	-0.403250	-56.707732	62.549403	0.253039	0.487107	0.835881	-0.884675	0.466193	-0.003863	-0.391564	-0.738506	0.548896						
32711		8.053429	-0.063627	5.269311	0.753054	0.243862	-0.407454	0.455436	-0.402473	-56.698895	62.547076	0.253118	0.487212	0.835797	-0.884661	0.466218	-0.003857	-0.391543	-0.738421	0.549025						
32712		8.024111	-0.032525	5.236111	0.753107	0.243785	-0.407415	0.455425	-0.407054	-56.689341	62.544668	0.253202	0.487325	0.835705	-0.884611	0.466314	-0.003902	-0.391602	-0.738286	0.549164						
